id	label	model
12764	Society	csebuetnlp/banglabert
202933	None	csebuetnlp/banglabert
165894	None	csebuetnlp/banglabert
124999	Community	csebuetnlp/banglabert
535301	Individual	csebuetnlp/banglabert
432948	Individual	csebuetnlp/banglabert
34737	None	csebuetnlp/banglabert
377091	Community	csebuetnlp/banglabert
840467	None	csebuetnlp/banglabert
361701	None	csebuetnlp/banglabert
184161	None	csebuetnlp/banglabert
531785	Individual	csebuetnlp/banglabert
402930	None	csebuetnlp/banglabert
578332	Organization	csebuetnlp/banglabert
723077	None	csebuetnlp/banglabert
776755	Society	csebuetnlp/banglabert
587800	Individual	csebuetnlp/banglabert
869387	None	csebuetnlp/banglabert
620490	Organization	csebuetnlp/banglabert
241030	Organization	csebuetnlp/banglabert
764029	Community	csebuetnlp/banglabert
174711	None	csebuetnlp/banglabert
65995	Individual	csebuetnlp/banglabert
871343	None	csebuetnlp/banglabert
715822	None	csebuetnlp/banglabert
106487	None	csebuetnlp/banglabert
764737	None	csebuetnlp/banglabert
917460	None	csebuetnlp/banglabert
531356	None	csebuetnlp/banglabert
266651	Organization	csebuetnlp/banglabert
739854	None	csebuetnlp/banglabert
266764	None	csebuetnlp/banglabert
73332	None	csebuetnlp/banglabert
760242	Individual	csebuetnlp/banglabert
320758	None	csebuetnlp/banglabert
609567	None	csebuetnlp/banglabert
16555	Individual	csebuetnlp/banglabert
404893	Organization	csebuetnlp/banglabert
357862	None	csebuetnlp/banglabert
624326	None	csebuetnlp/banglabert
364169	Community	csebuetnlp/banglabert
631673	None	csebuetnlp/banglabert
105543	Individual	csebuetnlp/banglabert
699006	None	csebuetnlp/banglabert
701268	None	csebuetnlp/banglabert
742298	Individual	csebuetnlp/banglabert
643737	Community	csebuetnlp/banglabert
689092	None	csebuetnlp/banglabert
563553	None	csebuetnlp/banglabert
662932	None	csebuetnlp/banglabert
473263	Community	csebuetnlp/banglabert
422168	None	csebuetnlp/banglabert
862941	Individual	csebuetnlp/banglabert
342937	Organization	csebuetnlp/banglabert
178372	Individual	csebuetnlp/banglabert
916768	None	csebuetnlp/banglabert
215239	Community	csebuetnlp/banglabert
763206	Individual	csebuetnlp/banglabert
666182	None	csebuetnlp/banglabert
503048	Organization	csebuetnlp/banglabert
519953	Individual	csebuetnlp/banglabert
679666	None	csebuetnlp/banglabert
237037	Individual	csebuetnlp/banglabert
561654	Individual	csebuetnlp/banglabert
335959	None	csebuetnlp/banglabert
672138	None	csebuetnlp/banglabert
705318	None	csebuetnlp/banglabert
251010	Individual	csebuetnlp/banglabert
50757	Organization	csebuetnlp/banglabert
708711	Society	csebuetnlp/banglabert
379033	None	csebuetnlp/banglabert
356889	None	csebuetnlp/banglabert
380864	None	csebuetnlp/banglabert
357388	None	csebuetnlp/banglabert
237264	Individual	csebuetnlp/banglabert
785645	None	csebuetnlp/banglabert
10221	Organization	csebuetnlp/banglabert
51427	None	csebuetnlp/banglabert
327009	None	csebuetnlp/banglabert
72638	None	csebuetnlp/banglabert
454694	Community	csebuetnlp/banglabert
531585	None	csebuetnlp/banglabert
905729	None	csebuetnlp/banglabert
826344	None	csebuetnlp/banglabert
622615	Organization	csebuetnlp/banglabert
341026	Society	csebuetnlp/banglabert
756812	None	csebuetnlp/banglabert
446998	None	csebuetnlp/banglabert
507755	Individual	csebuetnlp/banglabert
252185	None	csebuetnlp/banglabert
677872	Individual	csebuetnlp/banglabert
573406	None	csebuetnlp/banglabert
708512	None	csebuetnlp/banglabert
35865	Community	csebuetnlp/banglabert
521314	None	csebuetnlp/banglabert
629720	None	csebuetnlp/banglabert
579590	None	csebuetnlp/banglabert
420676	Individual	csebuetnlp/banglabert
888468	Individual	csebuetnlp/banglabert
507098	None	csebuetnlp/banglabert
33791	None	csebuetnlp/banglabert
628771	None	csebuetnlp/banglabert
197579	Organization	csebuetnlp/banglabert
228413	Society	csebuetnlp/banglabert
607208	None	csebuetnlp/banglabert
482851	Individual	csebuetnlp/banglabert
641065	None	csebuetnlp/banglabert
154089	None	csebuetnlp/banglabert
21246	None	csebuetnlp/banglabert
99970	None	csebuetnlp/banglabert
243706	Organization	csebuetnlp/banglabert
366232	None	csebuetnlp/banglabert
799431	Community	csebuetnlp/banglabert
151836	Individual	csebuetnlp/banglabert
384383	None	csebuetnlp/banglabert
430350	Individual	csebuetnlp/banglabert
321512	None	csebuetnlp/banglabert
791877	None	csebuetnlp/banglabert
369126	Community	csebuetnlp/banglabert
769210	None	csebuetnlp/banglabert
389866	None	csebuetnlp/banglabert
124392	Organization	csebuetnlp/banglabert
111565	Community	csebuetnlp/banglabert
87928	Organization	csebuetnlp/banglabert
507897	None	csebuetnlp/banglabert
284276	None	csebuetnlp/banglabert
211557	None	csebuetnlp/banglabert
407528	Community	csebuetnlp/banglabert
656024	None	csebuetnlp/banglabert
163256	None	csebuetnlp/banglabert
701482	None	csebuetnlp/banglabert
28613	None	csebuetnlp/banglabert
393451	None	csebuetnlp/banglabert
130986	None	csebuetnlp/banglabert
47847	None	csebuetnlp/banglabert
474831	Individual	csebuetnlp/banglabert
262358	None	csebuetnlp/banglabert
809182	None	csebuetnlp/banglabert
912597	None	csebuetnlp/banglabert
491193	None	csebuetnlp/banglabert
605569	None	csebuetnlp/banglabert
380424	None	csebuetnlp/banglabert
603456	Individual	csebuetnlp/banglabert
107100	Organization	csebuetnlp/banglabert
626831	None	csebuetnlp/banglabert
447213	None	csebuetnlp/banglabert
697862	Organization	csebuetnlp/banglabert
91497	Organization	csebuetnlp/banglabert
652526	None	csebuetnlp/banglabert
24792	None	csebuetnlp/banglabert
571083	Individual	csebuetnlp/banglabert
890268	Individual	csebuetnlp/banglabert
5297	None	csebuetnlp/banglabert
920594	Individual	csebuetnlp/banglabert
172944	Community	csebuetnlp/banglabert
624079	None	csebuetnlp/banglabert
770329	None	csebuetnlp/banglabert
692607	Community	csebuetnlp/banglabert
3052	Society	csebuetnlp/banglabert
844455	Individual	csebuetnlp/banglabert
814896	Individual	csebuetnlp/banglabert
110591	Organization	csebuetnlp/banglabert
180575	Society	csebuetnlp/banglabert
254322	None	csebuetnlp/banglabert
574720	None	csebuetnlp/banglabert
622377	None	csebuetnlp/banglabert
623083	Organization	csebuetnlp/banglabert
668718	Community	csebuetnlp/banglabert
633172	None	csebuetnlp/banglabert
6790	None	csebuetnlp/banglabert
850984	Organization	csebuetnlp/banglabert
500524	Organization	csebuetnlp/banglabert
581344	None	csebuetnlp/banglabert
654769	None	csebuetnlp/banglabert
706547	None	csebuetnlp/banglabert
603782	Individual	csebuetnlp/banglabert
302171	None	csebuetnlp/banglabert
744717	None	csebuetnlp/banglabert
512972	None	csebuetnlp/banglabert
781353	None	csebuetnlp/banglabert
384814	None	csebuetnlp/banglabert
15032	Society	csebuetnlp/banglabert
251425	Organization	csebuetnlp/banglabert
813466	None	csebuetnlp/banglabert
675844	Community	csebuetnlp/banglabert
2583	None	csebuetnlp/banglabert
659227	None	csebuetnlp/banglabert
169886	None	csebuetnlp/banglabert
381979	None	csebuetnlp/banglabert
299641	Individual	csebuetnlp/banglabert
704171	None	csebuetnlp/banglabert
618279	Community	csebuetnlp/banglabert
641060	Community	csebuetnlp/banglabert
562096	None	csebuetnlp/banglabert
318122	Individual	csebuetnlp/banglabert
451639	None	csebuetnlp/banglabert
653504	Community	csebuetnlp/banglabert
144836	Society	csebuetnlp/banglabert
426811	Organization	csebuetnlp/banglabert
399359	None	csebuetnlp/banglabert
610564	Organization	csebuetnlp/banglabert
246780	None	csebuetnlp/banglabert
838887	None	csebuetnlp/banglabert
144994	None	csebuetnlp/banglabert
854277	None	csebuetnlp/banglabert
865313	None	csebuetnlp/banglabert
578428	None	csebuetnlp/banglabert
187917	None	csebuetnlp/banglabert
348388	Organization	csebuetnlp/banglabert
741123	None	csebuetnlp/banglabert
634544	None	csebuetnlp/banglabert
778366	None	csebuetnlp/banglabert
441000	None	csebuetnlp/banglabert
377994	None	csebuetnlp/banglabert
362805	None	csebuetnlp/banglabert
12475	None	csebuetnlp/banglabert
460383	Society	csebuetnlp/banglabert
870913	Individual	csebuetnlp/banglabert
2715	None	csebuetnlp/banglabert
921356	Community	csebuetnlp/banglabert
196647	Organization	csebuetnlp/banglabert
824151	None	csebuetnlp/banglabert
382540	Organization	csebuetnlp/banglabert
1087	None	csebuetnlp/banglabert
380610	None	csebuetnlp/banglabert
416517	None	csebuetnlp/banglabert
456028	Individual	csebuetnlp/banglabert
431471	Individual	csebuetnlp/banglabert
453235	Organization	csebuetnlp/banglabert
927587	None	csebuetnlp/banglabert
422259	None	csebuetnlp/banglabert
896697	None	csebuetnlp/banglabert
42562	None	csebuetnlp/banglabert
197313	Individual	csebuetnlp/banglabert
690302	Community	csebuetnlp/banglabert
925174	None	csebuetnlp/banglabert
535584	Individual	csebuetnlp/banglabert
931365	Community	csebuetnlp/banglabert
227393	Individual	csebuetnlp/banglabert
329379	None	csebuetnlp/banglabert
56445	None	csebuetnlp/banglabert
546158	Organization	csebuetnlp/banglabert
258725	None	csebuetnlp/banglabert
175825	None	csebuetnlp/banglabert
937532	None	csebuetnlp/banglabert
833099	Community	csebuetnlp/banglabert
321436	None	csebuetnlp/banglabert
755018	None	csebuetnlp/banglabert
798262	Organization	csebuetnlp/banglabert
866278	None	csebuetnlp/banglabert
210321	Organization	csebuetnlp/banglabert
363164	None	csebuetnlp/banglabert
370542	Individual	csebuetnlp/banglabert
132703	None	csebuetnlp/banglabert
601946	None	csebuetnlp/banglabert
897150	None	csebuetnlp/banglabert
256376	None	csebuetnlp/banglabert
240015	None	csebuetnlp/banglabert
259547	Individual	csebuetnlp/banglabert
67131	None	csebuetnlp/banglabert
923885	Individual	csebuetnlp/banglabert
226135	Individual	csebuetnlp/banglabert
662300	None	csebuetnlp/banglabert
677456	None	csebuetnlp/banglabert
485008	Organization	csebuetnlp/banglabert
529942	Organization	csebuetnlp/banglabert
914346	None	csebuetnlp/banglabert
298173	Organization	csebuetnlp/banglabert
446809	None	csebuetnlp/banglabert
671424	Individual	csebuetnlp/banglabert
793955	Society	csebuetnlp/banglabert
157776	Organization	csebuetnlp/banglabert
283469	Individual	csebuetnlp/banglabert
206317	None	csebuetnlp/banglabert
33066	None	csebuetnlp/banglabert
36214	Organization	csebuetnlp/banglabert
683112	None	csebuetnlp/banglabert
831416	Society	csebuetnlp/banglabert
473865	None	csebuetnlp/banglabert
783655	Society	csebuetnlp/banglabert
344565	None	csebuetnlp/banglabert
240377	None	csebuetnlp/banglabert
205517	None	csebuetnlp/banglabert
624990	None	csebuetnlp/banglabert
114646	Individual	csebuetnlp/banglabert
860260	Organization	csebuetnlp/banglabert
321233	None	csebuetnlp/banglabert
287639	Organization	csebuetnlp/banglabert
698525	None	csebuetnlp/banglabert
640865	None	csebuetnlp/banglabert
493551	None	csebuetnlp/banglabert
329369	None	csebuetnlp/banglabert
687000	Individual	csebuetnlp/banglabert
938515	None	csebuetnlp/banglabert
71327	Community	csebuetnlp/banglabert
82872	Organization	csebuetnlp/banglabert
564549	None	csebuetnlp/banglabert
93050	Community	csebuetnlp/banglabert
684599	None	csebuetnlp/banglabert
923214	None	csebuetnlp/banglabert
712666	None	csebuetnlp/banglabert
516447	None	csebuetnlp/banglabert
789503	None	csebuetnlp/banglabert
126197	Community	csebuetnlp/banglabert
83510	None	csebuetnlp/banglabert
693378	None	csebuetnlp/banglabert
766830	Community	csebuetnlp/banglabert
917369	Individual	csebuetnlp/banglabert
140689	Community	csebuetnlp/banglabert
828319	None	csebuetnlp/banglabert
441784	Society	csebuetnlp/banglabert
584069	Individual	csebuetnlp/banglabert
595722	None	csebuetnlp/banglabert
587975	Individual	csebuetnlp/banglabert
737847	Community	csebuetnlp/banglabert
355260	None	csebuetnlp/banglabert
208807	None	csebuetnlp/banglabert
698527	Individual	csebuetnlp/banglabert
342704	None	csebuetnlp/banglabert
281083	None	csebuetnlp/banglabert
594110	Organization	csebuetnlp/banglabert
208175	Organization	csebuetnlp/banglabert
536181	Individual	csebuetnlp/banglabert
562508	None	csebuetnlp/banglabert
844368	Individual	csebuetnlp/banglabert
355570	Individual	csebuetnlp/banglabert
576652	None	csebuetnlp/banglabert
230254	Individual	csebuetnlp/banglabert
396913	None	csebuetnlp/banglabert
160607	None	csebuetnlp/banglabert
775615	None	csebuetnlp/banglabert
634523	Organization	csebuetnlp/banglabert
313291	Individual	csebuetnlp/banglabert
631046	Individual	csebuetnlp/banglabert
550426	Individual	csebuetnlp/banglabert
807498	Society	csebuetnlp/banglabert
388081	None	csebuetnlp/banglabert
532701	None	csebuetnlp/banglabert
506934	None	csebuetnlp/banglabert
322440	None	csebuetnlp/banglabert
507780	None	csebuetnlp/banglabert
133106	Organization	csebuetnlp/banglabert
584019	Individual	csebuetnlp/banglabert
474793	Organization	csebuetnlp/banglabert
890928	None	csebuetnlp/banglabert
888703	None	csebuetnlp/banglabert
391227	None	csebuetnlp/banglabert
511127	None	csebuetnlp/banglabert
507374	Individual	csebuetnlp/banglabert
680347	None	csebuetnlp/banglabert
63627	None	csebuetnlp/banglabert
903197	Individual	csebuetnlp/banglabert
938868	None	csebuetnlp/banglabert
675732	None	csebuetnlp/banglabert
482546	None	csebuetnlp/banglabert
675440	None	csebuetnlp/banglabert
115168	Community	csebuetnlp/banglabert
352533	Individual	csebuetnlp/banglabert
630861	Individual	csebuetnlp/banglabert
768879	Society	csebuetnlp/banglabert
882539	None	csebuetnlp/banglabert
558518	None	csebuetnlp/banglabert
937312	None	csebuetnlp/banglabert
422059	None	csebuetnlp/banglabert
416662	None	csebuetnlp/banglabert
632696	Community	csebuetnlp/banglabert
203962	None	csebuetnlp/banglabert
857709	None	csebuetnlp/banglabert
793617	Community	csebuetnlp/banglabert
486353	None	csebuetnlp/banglabert
635854	None	csebuetnlp/banglabert
84223	None	csebuetnlp/banglabert
150930	Society	csebuetnlp/banglabert
156149	None	csebuetnlp/banglabert
772243	Individual	csebuetnlp/banglabert
644418	None	csebuetnlp/banglabert
723392	Society	csebuetnlp/banglabert
717266	None	csebuetnlp/banglabert
75367	Community	csebuetnlp/banglabert
398304	None	csebuetnlp/banglabert
350619	None	csebuetnlp/banglabert
633361	Individual	csebuetnlp/banglabert
545400	None	csebuetnlp/banglabert
184710	Individual	csebuetnlp/banglabert
126450	None	csebuetnlp/banglabert
157874	Community	csebuetnlp/banglabert
268695	None	csebuetnlp/banglabert
443262	Organization	csebuetnlp/banglabert
405050	Organization	csebuetnlp/banglabert
475199	None	csebuetnlp/banglabert
909906	None	csebuetnlp/banglabert
619424	Individual	csebuetnlp/banglabert
338317	Individual	csebuetnlp/banglabert
208842	Community	csebuetnlp/banglabert
