id	label	model
879187	None	distilbert-base-multilingual-cased
316919	Profane	distilbert-base-multilingual-cased
916242	None	distilbert-base-multilingual-cased
786824	None	distilbert-base-multilingual-cased
47284	None	distilbert-base-multilingual-cased
51359	Profane	distilbert-base-multilingual-cased
327639	None	distilbert-base-multilingual-cased
925152	Profane	distilbert-base-multilingual-cased
432602	None	distilbert-base-multilingual-cased
540917	Sexism	distilbert-base-multilingual-cased
259015	None	distilbert-base-multilingual-cased
119485	None	distilbert-base-multilingual-cased
629565	None	distilbert-base-multilingual-cased
223268	Abusive	distilbert-base-multilingual-cased
91157	Political Hate	distilbert-base-multilingual-cased
123076	None	distilbert-base-multilingual-cased
301408	None	distilbert-base-multilingual-cased
153221	None	distilbert-base-multilingual-cased
713730	None	distilbert-base-multilingual-cased
104093	Political Hate	distilbert-base-multilingual-cased
284969	Political Hate	distilbert-base-multilingual-cased
154146	None	distilbert-base-multilingual-cased
903474	None	distilbert-base-multilingual-cased
310847	None	distilbert-base-multilingual-cased
618320	None	distilbert-base-multilingual-cased
219771	Abusive	distilbert-base-multilingual-cased
137796	Political Hate	distilbert-base-multilingual-cased
557214	Political Hate	distilbert-base-multilingual-cased
639414	None	distilbert-base-multilingual-cased
499556	Political Hate	distilbert-base-multilingual-cased
874903	None	distilbert-base-multilingual-cased
242561	None	distilbert-base-multilingual-cased
170696	None	distilbert-base-multilingual-cased
400293	None	distilbert-base-multilingual-cased
345498	None	distilbert-base-multilingual-cased
682342	None	distilbert-base-multilingual-cased
103754	Abusive	distilbert-base-multilingual-cased
763773	Abusive	distilbert-base-multilingual-cased
366364	Religious Hate	distilbert-base-multilingual-cased
748942	None	distilbert-base-multilingual-cased
108952	None	distilbert-base-multilingual-cased
852650	Political Hate	distilbert-base-multilingual-cased
638113	Profane	distilbert-base-multilingual-cased
788538	None	distilbert-base-multilingual-cased
677410	Religious Hate	distilbert-base-multilingual-cased
194546	Religious Hate	distilbert-base-multilingual-cased
645529	Political Hate	distilbert-base-multilingual-cased
924142	None	distilbert-base-multilingual-cased
69380	Political Hate	distilbert-base-multilingual-cased
748478	None	distilbert-base-multilingual-cased
645018	None	distilbert-base-multilingual-cased
295794	None	distilbert-base-multilingual-cased
63426	Abusive	distilbert-base-multilingual-cased
63116	Profane	distilbert-base-multilingual-cased
551400	None	distilbert-base-multilingual-cased
835607	Religious Hate	distilbert-base-multilingual-cased
103869	None	distilbert-base-multilingual-cased
562502	None	distilbert-base-multilingual-cased
472928	None	distilbert-base-multilingual-cased
319508	None	distilbert-base-multilingual-cased
545961	None	distilbert-base-multilingual-cased
698843	None	distilbert-base-multilingual-cased
590762	None	distilbert-base-multilingual-cased
878482	None	distilbert-base-multilingual-cased
451314	Abusive	distilbert-base-multilingual-cased
88129	Profane	distilbert-base-multilingual-cased
189525	Abusive	distilbert-base-multilingual-cased
379097	Abusive	distilbert-base-multilingual-cased
864667	None	distilbert-base-multilingual-cased
780940	None	distilbert-base-multilingual-cased
577465	Abusive	distilbert-base-multilingual-cased
201744	None	distilbert-base-multilingual-cased
5641	None	distilbert-base-multilingual-cased
110529	Political Hate	distilbert-base-multilingual-cased
732060	None	distilbert-base-multilingual-cased
899521	None	distilbert-base-multilingual-cased
217414	Political Hate	distilbert-base-multilingual-cased
364331	Religious Hate	distilbert-base-multilingual-cased
220584	None	distilbert-base-multilingual-cased
521448	None	distilbert-base-multilingual-cased
235213	Profane	distilbert-base-multilingual-cased
288321	Abusive	distilbert-base-multilingual-cased
444659	None	distilbert-base-multilingual-cased
288470	Political Hate	distilbert-base-multilingual-cased
602580	None	distilbert-base-multilingual-cased
505064	None	distilbert-base-multilingual-cased
220958	None	distilbert-base-multilingual-cased
208873	None	distilbert-base-multilingual-cased
905717	None	distilbert-base-multilingual-cased
753381	None	distilbert-base-multilingual-cased
189967	Political Hate	distilbert-base-multilingual-cased
55334	Abusive	distilbert-base-multilingual-cased
585271	None	distilbert-base-multilingual-cased
284428	Political Hate	distilbert-base-multilingual-cased
333828	None	distilbert-base-multilingual-cased
268077	Political Hate	distilbert-base-multilingual-cased
791784	None	distilbert-base-multilingual-cased
29385	None	distilbert-base-multilingual-cased
721154	None	distilbert-base-multilingual-cased
53445	None	distilbert-base-multilingual-cased
849367	Abusive	distilbert-base-multilingual-cased
776247	None	distilbert-base-multilingual-cased
194347	Profane	distilbert-base-multilingual-cased
875084	None	distilbert-base-multilingual-cased
429185	None	distilbert-base-multilingual-cased
869559	Abusive	distilbert-base-multilingual-cased
551711	None	distilbert-base-multilingual-cased
459530	None	distilbert-base-multilingual-cased
371844	Abusive	distilbert-base-multilingual-cased
678759	None	distilbert-base-multilingual-cased
928871	Abusive	distilbert-base-multilingual-cased
938337	None	distilbert-base-multilingual-cased
486005	Sexism	distilbert-base-multilingual-cased
739268	None	distilbert-base-multilingual-cased
256855	None	distilbert-base-multilingual-cased
57158	Profane	distilbert-base-multilingual-cased
492274	Religious Hate	distilbert-base-multilingual-cased
177187	None	distilbert-base-multilingual-cased
323380	Profane	distilbert-base-multilingual-cased
736173	Abusive	distilbert-base-multilingual-cased
655076	None	distilbert-base-multilingual-cased
636680	Political Hate	distilbert-base-multilingual-cased
319075	None	distilbert-base-multilingual-cased
183674	Political Hate	distilbert-base-multilingual-cased
556548	None	distilbert-base-multilingual-cased
268230	Political Hate	distilbert-base-multilingual-cased
732875	None	distilbert-base-multilingual-cased
212780	Abusive	distilbert-base-multilingual-cased
915594	None	distilbert-base-multilingual-cased
187124	Abusive	distilbert-base-multilingual-cased
376637	Political Hate	distilbert-base-multilingual-cased
237536	None	distilbert-base-multilingual-cased
727320	Profane	distilbert-base-multilingual-cased
62305	None	distilbert-base-multilingual-cased
518275	None	distilbert-base-multilingual-cased
190205	Abusive	distilbert-base-multilingual-cased
682947	Political Hate	distilbert-base-multilingual-cased
843536	None	distilbert-base-multilingual-cased
298286	Profane	distilbert-base-multilingual-cased
260368	Political Hate	distilbert-base-multilingual-cased
109120	None	distilbert-base-multilingual-cased
732085	None	distilbert-base-multilingual-cased
587177	Abusive	distilbert-base-multilingual-cased
219166	None	distilbert-base-multilingual-cased
712397	None	distilbert-base-multilingual-cased
744608	Abusive	distilbert-base-multilingual-cased
839392	None	distilbert-base-multilingual-cased
567799	None	distilbert-base-multilingual-cased
357344	None	distilbert-base-multilingual-cased
646789	Political Hate	distilbert-base-multilingual-cased
144730	None	distilbert-base-multilingual-cased
606121	None	distilbert-base-multilingual-cased
663589	None	distilbert-base-multilingual-cased
175058	Abusive	distilbert-base-multilingual-cased
602882	Political Hate	distilbert-base-multilingual-cased
865744	None	distilbert-base-multilingual-cased
15148	None	distilbert-base-multilingual-cased
714172	Profane	distilbert-base-multilingual-cased
919656	Abusive	distilbert-base-multilingual-cased
641435	None	distilbert-base-multilingual-cased
542675	Profane	distilbert-base-multilingual-cased
97962	Profane	distilbert-base-multilingual-cased
35543	Political Hate	distilbert-base-multilingual-cased
249438	None	distilbert-base-multilingual-cased
45817	Abusive	distilbert-base-multilingual-cased
846205	Political Hate	distilbert-base-multilingual-cased
684720	None	distilbert-base-multilingual-cased
659930	Profane	distilbert-base-multilingual-cased
446120	None	distilbert-base-multilingual-cased
315323	None	distilbert-base-multilingual-cased
533231	None	distilbert-base-multilingual-cased
103313	None	distilbert-base-multilingual-cased
484049	None	distilbert-base-multilingual-cased
258145	Profane	distilbert-base-multilingual-cased
255461	None	distilbert-base-multilingual-cased
582412	None	distilbert-base-multilingual-cased
541719	Religious Hate	distilbert-base-multilingual-cased
400986	Abusive	distilbert-base-multilingual-cased
547162	Political Hate	distilbert-base-multilingual-cased
444235	Political Hate	distilbert-base-multilingual-cased
349790	Political Hate	distilbert-base-multilingual-cased
1698	None	distilbert-base-multilingual-cased
733055	None	distilbert-base-multilingual-cased
358186	None	distilbert-base-multilingual-cased
272026	Abusive	distilbert-base-multilingual-cased
843498	None	distilbert-base-multilingual-cased
903157	Abusive	distilbert-base-multilingual-cased
869323	None	distilbert-base-multilingual-cased
314731	Abusive	distilbert-base-multilingual-cased
923983	Abusive	distilbert-base-multilingual-cased
467220	Abusive	distilbert-base-multilingual-cased
203763	Abusive	distilbert-base-multilingual-cased
254343	Political Hate	distilbert-base-multilingual-cased
753995	None	distilbert-base-multilingual-cased
577269	None	distilbert-base-multilingual-cased
140440	None	distilbert-base-multilingual-cased
327128	Abusive	distilbert-base-multilingual-cased
742109	None	distilbert-base-multilingual-cased
339941	None	distilbert-base-multilingual-cased
648055	None	distilbert-base-multilingual-cased
271686	None	distilbert-base-multilingual-cased
167523	Abusive	distilbert-base-multilingual-cased
565237	Political Hate	distilbert-base-multilingual-cased
326583	Abusive	distilbert-base-multilingual-cased
521049	None	distilbert-base-multilingual-cased
635150	None	distilbert-base-multilingual-cased
667038	None	distilbert-base-multilingual-cased
533234	None	distilbert-base-multilingual-cased
49935	Abusive	distilbert-base-multilingual-cased
132749	None	distilbert-base-multilingual-cased
526931	None	distilbert-base-multilingual-cased
120887	None	distilbert-base-multilingual-cased
148965	None	distilbert-base-multilingual-cased
785355	None	distilbert-base-multilingual-cased
904080	None	distilbert-base-multilingual-cased
242296	None	distilbert-base-multilingual-cased
505804	None	distilbert-base-multilingual-cased
