id	label	model
879187	None	csebuetnlp/banglabert_large
316919	Profane	csebuetnlp/banglabert_large
916242	None	csebuetnlp/banglabert_large
786824	None	csebuetnlp/banglabert_large
47284	None	csebuetnlp/banglabert_large
51359	Profane	csebuetnlp/banglabert_large
327639	None	csebuetnlp/banglabert_large
925152	Profane	csebuetnlp/banglabert_large
432602	Religious Hate	csebuetnlp/banglabert_large
540917	Abusive	csebuetnlp/banglabert_large
259015	None	csebuetnlp/banglabert_large
119485	None	csebuetnlp/banglabert_large
629565	None	csebuetnlp/banglabert_large
223268	Abusive	csebuetnlp/banglabert_large
91157	Political Hate	csebuetnlp/banglabert_large
123076	Abusive	csebuetnlp/banglabert_large
301408	None	csebuetnlp/banglabert_large
153221	None	csebuetnlp/banglabert_large
713730	None	csebuetnlp/banglabert_large
104093	Political Hate	csebuetnlp/banglabert_large
284969	Political Hate	csebuetnlp/banglabert_large
154146	Abusive	csebuetnlp/banglabert_large
903474	None	csebuetnlp/banglabert_large
310847	Abusive	csebuetnlp/banglabert_large
618320	None	csebuetnlp/banglabert_large
219771	Abusive	csebuetnlp/banglabert_large
137796	None	csebuetnlp/banglabert_large
557214	Abusive	csebuetnlp/banglabert_large
639414	None	csebuetnlp/banglabert_large
499556	Political Hate	csebuetnlp/banglabert_large
874903	None	csebuetnlp/banglabert_large
242561	None	csebuetnlp/banglabert_large
170696	None	csebuetnlp/banglabert_large
400293	Abusive	csebuetnlp/banglabert_large
345498	None	csebuetnlp/banglabert_large
682342	None	csebuetnlp/banglabert_large
103754	Abusive	csebuetnlp/banglabert_large
763773	None	csebuetnlp/banglabert_large
366364	None	csebuetnlp/banglabert_large
748942	None	csebuetnlp/banglabert_large
108952	None	csebuetnlp/banglabert_large
852650	Political Hate	csebuetnlp/banglabert_large
638113	Profane	csebuetnlp/banglabert_large
788538	Political Hate	csebuetnlp/banglabert_large
677410	Religious Hate	csebuetnlp/banglabert_large
194546	Abusive	csebuetnlp/banglabert_large
645529	Political Hate	csebuetnlp/banglabert_large
924142	None	csebuetnlp/banglabert_large
69380	Political Hate	csebuetnlp/banglabert_large
748478	None	csebuetnlp/banglabert_large
645018	None	csebuetnlp/banglabert_large
295794	None	csebuetnlp/banglabert_large
63426	Abusive	csebuetnlp/banglabert_large
