id	label	model
12764	Society	csebuetnlp/banglabert_large
202933	None	csebuetnlp/banglabert_large
165894	Community	csebuetnlp/banglabert_large
124999	None	csebuetnlp/banglabert_large
535301	Community	csebuetnlp/banglabert_large
432948	Individual	csebuetnlp/banglabert_large
34737	None	csebuetnlp/banglabert_large
377091	Community	csebuetnlp/banglabert_large
840467	None	csebuetnlp/banglabert_large
361701	None	csebuetnlp/banglabert_large
184161	None	csebuetnlp/banglabert_large
531785	None	csebuetnlp/banglabert_large
402930	None	csebuetnlp/banglabert_large
578332	Organization	csebuetnlp/banglabert_large
723077	Individual	csebuetnlp/banglabert_large
776755	Society	csebuetnlp/banglabert_large
587800	Individual	csebuetnlp/banglabert_large
869387	None	csebuetnlp/banglabert_large
620490	Organization	csebuetnlp/banglabert_large
241030	Organization	csebuetnlp/banglabert_large
764029	Community	csebuetnlp/banglabert_large
174711	None	csebuetnlp/banglabert_large
65995	Individual	csebuetnlp/banglabert_large
871343	Community	csebuetnlp/banglabert_large
715822	None	csebuetnlp/banglabert_large
106487	None	csebuetnlp/banglabert_large
764737	None	csebuetnlp/banglabert_large
917460	Society	csebuetnlp/banglabert_large
531356	None	csebuetnlp/banglabert_large
266651	Organization	csebuetnlp/banglabert_large
739854	None	csebuetnlp/banglabert_large
266764	None	csebuetnlp/banglabert_large
73332	Individual	csebuetnlp/banglabert_large
760242	Society	csebuetnlp/banglabert_large
320758	None	csebuetnlp/banglabert_large
609567	None	csebuetnlp/banglabert_large
16555	Society	csebuetnlp/banglabert_large
404893	Organization	csebuetnlp/banglabert_large
357862	None	csebuetnlp/banglabert_large
624326	Community	csebuetnlp/banglabert_large
364169	Community	csebuetnlp/banglabert_large
631673	None	csebuetnlp/banglabert_large
105543	Individual	csebuetnlp/banglabert_large
699006	None	csebuetnlp/banglabert_large
701268	Individual	csebuetnlp/banglabert_large
742298	Individual	csebuetnlp/banglabert_large
643737	Society	csebuetnlp/banglabert_large
689092	None	csebuetnlp/banglabert_large
563553	Society	csebuetnlp/banglabert_large
662932	None	csebuetnlp/banglabert_large
473263	Community	csebuetnlp/banglabert_large
422168	None	csebuetnlp/banglabert_large
862941	Individual	csebuetnlp/banglabert_large
342937	Organization	csebuetnlp/banglabert_large
178372	Individual	csebuetnlp/banglabert_large
916768	None	csebuetnlp/banglabert_large
215239	Community	csebuetnlp/banglabert_large
763206	Individual	csebuetnlp/banglabert_large
666182	None	csebuetnlp/banglabert_large
503048	Organization	csebuetnlp/banglabert_large
519953	Individual	csebuetnlp/banglabert_large
679666	None	csebuetnlp/banglabert_large
237037	Individual	csebuetnlp/banglabert_large
561654	Society	csebuetnlp/banglabert_large
335959	None	csebuetnlp/banglabert_large
672138	None	csebuetnlp/banglabert_large
705318	None	csebuetnlp/banglabert_large
251010	Individual	csebuetnlp/banglabert_large
50757	None	csebuetnlp/banglabert_large
708711	Society	csebuetnlp/banglabert_large
379033	Individual	csebuetnlp/banglabert_large
356889	None	csebuetnlp/banglabert_large
380864	Community	csebuetnlp/banglabert_large
357388	None	csebuetnlp/banglabert_large
