id	label	model
12764	Abusive	csebuetnlp/banglabert
202933	None	csebuetnlp/banglabert
165894	Abusive	csebuetnlp/banglabert
124999	Profane	csebuetnlp/banglabert
535301	Religious Hate	csebuetnlp/banglabert
432948	Profane	csebuetnlp/banglabert
34737	None	csebuetnlp/banglabert
377091	Profane	csebuetnlp/banglabert
840467	None	csebuetnlp/banglabert
361701	None	csebuetnlp/banglabert
184161	None	csebuetnlp/banglabert
531785	None	csebuetnlp/banglabert
402930	Political Hate	csebuetnlp/banglabert
578332	Political Hate	csebuetnlp/banglabert
723077	Abusive	csebuetnlp/banglabert
776755	Religious Hate	csebuetnlp/banglabert
587800	Profane	csebuetnlp/banglabert
869387	None	csebuetnlp/banglabert
620490	Political Hate	csebuetnlp/banglabert
241030	Abusive	csebuetnlp/banglabert
764029	Religious Hate	csebuetnlp/banglabert
174711	None	csebuetnlp/banglabert
65995	Political Hate	csebuetnlp/banglabert
871343	None	csebuetnlp/banglabert
715822	None	csebuetnlp/banglabert
106487	None	csebuetnlp/banglabert
764737	None	csebuetnlp/banglabert
917460	None	csebuetnlp/banglabert
531356	None	csebuetnlp/banglabert
266651	Political Hate	csebuetnlp/banglabert
739854	None	csebuetnlp/banglabert
266764	None	csebuetnlp/banglabert
73332	None	csebuetnlp/banglabert
760242	Sexism	csebuetnlp/banglabert
320758	None	csebuetnlp/banglabert
609567	Abusive	csebuetnlp/banglabert
16555	Abusive	csebuetnlp/banglabert
404893	Abusive	csebuetnlp/banglabert
357862	None	csebuetnlp/banglabert
624326	Abusive	csebuetnlp/banglabert
364169	Profane	csebuetnlp/banglabert
631673	None	csebuetnlp/banglabert
105543	Profane	csebuetnlp/banglabert
699006	None	csebuetnlp/banglabert
701268	None	csebuetnlp/banglabert
742298	None	csebuetnlp/banglabert
643737	Abusive	csebuetnlp/banglabert
689092	None	csebuetnlp/banglabert
563553	Abusive	csebuetnlp/banglabert
662932	None	csebuetnlp/banglabert
473263	Profane	csebuetnlp/banglabert
422168	None	csebuetnlp/banglabert
862941	Abusive	csebuetnlp/banglabert
342937	Profane	csebuetnlp/banglabert
178372	Abusive	csebuetnlp/banglabert
916768	None	csebuetnlp/banglabert
215239	Abusive	csebuetnlp/banglabert
763206	Abusive	csebuetnlp/banglabert
666182	None	csebuetnlp/banglabert
503048	Political Hate	csebuetnlp/banglabert
519953	Abusive	csebuetnlp/banglabert
679666	None	csebuetnlp/banglabert
237037	None	csebuetnlp/banglabert
561654	None	csebuetnlp/banglabert
335959	None	csebuetnlp/banglabert
672138	None	csebuetnlp/banglabert
705318	Sexism	csebuetnlp/banglabert
251010	None	csebuetnlp/banglabert
50757	Abusive	csebuetnlp/banglabert
708711	Profane	csebuetnlp/banglabert
379033	None	csebuetnlp/banglabert
356889	None	csebuetnlp/banglabert
380864	Abusive	csebuetnlp/banglabert
357388	None	csebuetnlp/banglabert
237264	Sexism	csebuetnlp/banglabert
785645	None	csebuetnlp/banglabert
10221	None	csebuetnlp/banglabert
51427	Abusive	csebuetnlp/banglabert
327009	None	csebuetnlp/banglabert
72638	None	csebuetnlp/banglabert
454694	Abusive	csebuetnlp/banglabert
531585	None	csebuetnlp/banglabert
905729	None	csebuetnlp/banglabert
826344	None	csebuetnlp/banglabert
622615	Political Hate	csebuetnlp/banglabert
341026	Abusive	csebuetnlp/banglabert
756812	None	csebuetnlp/banglabert
446998	None	csebuetnlp/banglabert
507755	Abusive	csebuetnlp/banglabert
252185	None	csebuetnlp/banglabert
677872	Political Hate	csebuetnlp/banglabert
573406	None	csebuetnlp/banglabert
708512	None	csebuetnlp/banglabert
35865	Political Hate	csebuetnlp/banglabert
521314	None	csebuetnlp/banglabert
629720	None	csebuetnlp/banglabert
579590	None	csebuetnlp/banglabert
420676	None	csebuetnlp/banglabert
888468	Profane	csebuetnlp/banglabert
507098	None	csebuetnlp/banglabert
33791	None	csebuetnlp/banglabert
628771	Abusive	csebuetnlp/banglabert
197579	Political Hate	csebuetnlp/banglabert
228413	Abusive	csebuetnlp/banglabert
607208	None	csebuetnlp/banglabert
482851	Abusive	csebuetnlp/banglabert
641065	None	csebuetnlp/banglabert
154089	Sexism	csebuetnlp/banglabert
21246	None	csebuetnlp/banglabert
99970	None	csebuetnlp/banglabert
243706	Political Hate	csebuetnlp/banglabert
366232	None	csebuetnlp/banglabert
799431	Abusive	csebuetnlp/banglabert
151836	Profane	csebuetnlp/banglabert
384383	None	csebuetnlp/banglabert
430350	Abusive	csebuetnlp/banglabert
321512	None	csebuetnlp/banglabert
791877	Political Hate	csebuetnlp/banglabert
369126	Sexism	csebuetnlp/banglabert
769210	None	csebuetnlp/banglabert
389866	None	csebuetnlp/banglabert
124392	None	csebuetnlp/banglabert
111565	Abusive	csebuetnlp/banglabert
87928	Political Hate	csebuetnlp/banglabert
507897	Abusive	csebuetnlp/banglabert
284276	Abusive	csebuetnlp/banglabert
211557	None	csebuetnlp/banglabert
407528	Abusive	csebuetnlp/banglabert
656024	None	csebuetnlp/banglabert
163256	None	csebuetnlp/banglabert
701482	None	csebuetnlp/banglabert
28613	Political Hate	csebuetnlp/banglabert
393451	None	csebuetnlp/banglabert
130986	None	csebuetnlp/banglabert
47847	None	csebuetnlp/banglabert
474831	Religious Hate	csebuetnlp/banglabert
262358	Abusive	csebuetnlp/banglabert
809182	None	csebuetnlp/banglabert
912597	None	csebuetnlp/banglabert
491193	None	csebuetnlp/banglabert
605569	None	csebuetnlp/banglabert
380424	None	csebuetnlp/banglabert
603456	Abusive	csebuetnlp/banglabert
107100	Political Hate	csebuetnlp/banglabert
626831	None	csebuetnlp/banglabert
447213	None	csebuetnlp/banglabert
697862	None	csebuetnlp/banglabert
91497	Political Hate	csebuetnlp/banglabert
652526	None	csebuetnlp/banglabert
24792	None	csebuetnlp/banglabert
571083	Abusive	csebuetnlp/banglabert
890268	Abusive	csebuetnlp/banglabert
5297	Abusive	csebuetnlp/banglabert
920594	Profane	csebuetnlp/banglabert
172944	Political Hate	csebuetnlp/banglabert
624079	None	csebuetnlp/banglabert
770329	None	csebuetnlp/banglabert
692607	Abusive	csebuetnlp/banglabert
3052	None	csebuetnlp/banglabert
844455	Abusive	csebuetnlp/banglabert
814896	Profane	csebuetnlp/banglabert
110591	Political Hate	csebuetnlp/banglabert
180575	Political Hate	csebuetnlp/banglabert
254322	None	csebuetnlp/banglabert
574720	None	csebuetnlp/banglabert
622377	None	csebuetnlp/banglabert
623083	Political Hate	csebuetnlp/banglabert
668718	Abusive	csebuetnlp/banglabert
633172	None	csebuetnlp/banglabert
6790	None	csebuetnlp/banglabert
850984	Political Hate	csebuetnlp/banglabert
500524	Political Hate	csebuetnlp/banglabert
581344	None	csebuetnlp/banglabert
654769	None	csebuetnlp/banglabert
706547	None	csebuetnlp/banglabert
603782	None	csebuetnlp/banglabert
302171	None	csebuetnlp/banglabert
744717	None	csebuetnlp/banglabert
512972	None	csebuetnlp/banglabert
781353	None	csebuetnlp/banglabert
384814	None	csebuetnlp/banglabert
15032	None	csebuetnlp/banglabert
251425	Abusive	csebuetnlp/banglabert
813466	None	csebuetnlp/banglabert
675844	Abusive	csebuetnlp/banglabert
2583	Religious Hate	csebuetnlp/banglabert
659227	None	csebuetnlp/banglabert
169886	None	csebuetnlp/banglabert
381979	None	csebuetnlp/banglabert
299641	Abusive	csebuetnlp/banglabert
704171	None	csebuetnlp/banglabert
618279	Abusive	csebuetnlp/banglabert
641060	Abusive	csebuetnlp/banglabert
562096	None	csebuetnlp/banglabert
318122	Profane	csebuetnlp/banglabert
451639	None	csebuetnlp/banglabert
653504	Abusive	csebuetnlp/banglabert
144836	None	csebuetnlp/banglabert
426811	Abusive	csebuetnlp/banglabert
399359	None	csebuetnlp/banglabert
610564	Political Hate	csebuetnlp/banglabert
246780	None	csebuetnlp/banglabert
838887	None	csebuetnlp/banglabert
144994	None	csebuetnlp/banglabert
854277	Sexism	csebuetnlp/banglabert
865313	None	csebuetnlp/banglabert
578428	None	csebuetnlp/banglabert
187917	None	csebuetnlp/banglabert
348388	Political Hate	csebuetnlp/banglabert
741123	None	csebuetnlp/banglabert
634544	None	csebuetnlp/banglabert
778366	Abusive	csebuetnlp/banglabert
441000	None	csebuetnlp/banglabert
377994	None	csebuetnlp/banglabert
362805	Religious Hate	csebuetnlp/banglabert
12475	None	csebuetnlp/banglabert
460383	Abusive	csebuetnlp/banglabert
870913	Abusive	csebuetnlp/banglabert
2715	None	csebuetnlp/banglabert
921356	Abusive	csebuetnlp/banglabert
196647	Political Hate	csebuetnlp/banglabert
824151	None	csebuetnlp/banglabert
382540	Abusive	csebuetnlp/banglabert
1087	None	csebuetnlp/banglabert
380610	None	csebuetnlp/banglabert
416517	None	csebuetnlp/banglabert
456028	Profane	csebuetnlp/banglabert
431471	None	csebuetnlp/banglabert
453235	Political Hate	csebuetnlp/banglabert
927587	None	csebuetnlp/banglabert
422259	None	csebuetnlp/banglabert
896697	None	csebuetnlp/banglabert
42562	None	csebuetnlp/banglabert
197313	Political Hate	csebuetnlp/banglabert
690302	Abusive	csebuetnlp/banglabert
925174	None	csebuetnlp/banglabert
535584	Abusive	csebuetnlp/banglabert
931365	Abusive	csebuetnlp/banglabert
227393	Abusive	csebuetnlp/banglabert
329379	None	csebuetnlp/banglabert
56445	None	csebuetnlp/banglabert
546158	Political Hate	csebuetnlp/banglabert
258725	None	csebuetnlp/banglabert
175825	None	csebuetnlp/banglabert
937532	None	csebuetnlp/banglabert
833099	None	csebuetnlp/banglabert
321436	None	csebuetnlp/banglabert
755018	None	csebuetnlp/banglabert
798262	Political Hate	csebuetnlp/banglabert
866278	None	csebuetnlp/banglabert
210321	Political Hate	csebuetnlp/banglabert
363164	None	csebuetnlp/banglabert
370542	None	csebuetnlp/banglabert
132703	None	csebuetnlp/banglabert
601946	Abusive	csebuetnlp/banglabert
897150	None	csebuetnlp/banglabert
256376	None	csebuetnlp/banglabert
240015	None	csebuetnlp/banglabert
259547	Abusive	csebuetnlp/banglabert
67131	None	csebuetnlp/banglabert
923885	Abusive	csebuetnlp/banglabert
226135	Abusive	csebuetnlp/banglabert
662300	None	csebuetnlp/banglabert
