id	label	model
879187	None	csebuetnlp/banglabert_large
316919	Organization	csebuetnlp/banglabert_large
916242	None	csebuetnlp/banglabert_large
786824	None	csebuetnlp/banglabert_large
47284	None	csebuetnlp/banglabert_large
51359	Individual	csebuetnlp/banglabert_large
327639	None	csebuetnlp/banglabert_large
925152	Community	csebuetnlp/banglabert_large
432602	Society	csebuetnlp/banglabert_large
540917	Organization	csebuetnlp/banglabert_large
259015	None	csebuetnlp/banglabert_large
119485	None	csebuetnlp/banglabert_large
629565	None	csebuetnlp/banglabert_large
223268	Individual	csebuetnlp/banglabert_large
91157	Organization	csebuetnlp/banglabert_large
123076	Community	csebuetnlp/banglabert_large
301408	None	csebuetnlp/banglabert_large
153221	None	csebuetnlp/banglabert_large
713730	None	csebuetnlp/banglabert_large
104093	Organization	csebuetnlp/banglabert_large
284969	Individual	csebuetnlp/banglabert_large
154146	None	csebuetnlp/banglabert_large
903474	None	csebuetnlp/banglabert_large
310847	Community	csebuetnlp/banglabert_large
618320	None	csebuetnlp/banglabert_large
219771	Community	csebuetnlp/banglabert_large
137796	None	csebuetnlp/banglabert_large
557214	Organization	csebuetnlp/banglabert_large
639414	None	csebuetnlp/banglabert_large
499556	Organization	csebuetnlp/banglabert_large
874903	None	csebuetnlp/banglabert_large
242561	None	csebuetnlp/banglabert_large
170696	None	csebuetnlp/banglabert_large
400293	Organization	csebuetnlp/banglabert_large
345498	None	csebuetnlp/banglabert_large
682342	None	csebuetnlp/banglabert_large
103754	Individual	csebuetnlp/banglabert_large
763773	None	csebuetnlp/banglabert_large
366364	None	csebuetnlp/banglabert_large
748942	None	csebuetnlp/banglabert_large
108952	None	csebuetnlp/banglabert_large
852650	Individual	csebuetnlp/banglabert_large
638113	Society	csebuetnlp/banglabert_large
788538	Society	csebuetnlp/banglabert_large
677410	None	csebuetnlp/banglabert_large
194546	Individual	csebuetnlp/banglabert_large
645529	Individual	csebuetnlp/banglabert_large
924142	None	csebuetnlp/banglabert_large
69380	Individual	csebuetnlp/banglabert_large
748478	None	csebuetnlp/banglabert_large
645018	Community	csebuetnlp/banglabert_large
295794	None	csebuetnlp/banglabert_large
63426	Society	csebuetnlp/banglabert_large
63116	Organization	csebuetnlp/banglabert_large
551400	None	csebuetnlp/banglabert_large
835607	Organization	csebuetnlp/banglabert_large
103869	None	csebuetnlp/banglabert_large
562502	Organization	csebuetnlp/banglabert_large
472928	Organization	csebuetnlp/banglabert_large
319508	None	csebuetnlp/banglabert_large
545961	None	csebuetnlp/banglabert_large
698843	None	csebuetnlp/banglabert_large
590762	None	csebuetnlp/banglabert_large
878482	None	csebuetnlp/banglabert_large
451314	Community	csebuetnlp/banglabert_large
88129	Organization	csebuetnlp/banglabert_large
189525	Community	csebuetnlp/banglabert_large
379097	Organization	csebuetnlp/banglabert_large
864667	None	csebuetnlp/banglabert_large
780940	Society	csebuetnlp/banglabert_large
577465	Individual	csebuetnlp/banglabert_large
201744	None	csebuetnlp/banglabert_large
5641	Individual	csebuetnlp/banglabert_large
110529	Organization	csebuetnlp/banglabert_large
732060	None	csebuetnlp/banglabert_large
899521	None	csebuetnlp/banglabert_large
217414	Organization	csebuetnlp/banglabert_large
364331	Organization	csebuetnlp/banglabert_large
220584	None	csebuetnlp/banglabert_large
521448	None	csebuetnlp/banglabert_large
235213	Individual	csebuetnlp/banglabert_large
288321	None	csebuetnlp/banglabert_large
444659	None	csebuetnlp/banglabert_large
