id	label	model
879187	None	google/muril-large-cased
316919	Organization	google/muril-large-cased
916242	None	google/muril-large-cased
786824	None	google/muril-large-cased
47284	None	google/muril-large-cased
51359	Individual	google/muril-large-cased
327639	None	google/muril-large-cased
925152	None	google/muril-large-cased
432602	None	google/muril-large-cased
540917	None	google/muril-large-cased
259015	None	google/muril-large-cased
119485	None	google/muril-large-cased
629565	None	google/muril-large-cased
223268	Individual	google/muril-large-cased
91157	Organization	google/muril-large-cased
123076	Community	google/muril-large-cased
301408	None	google/muril-large-cased
153221	None	google/muril-large-cased
713730	None	google/muril-large-cased
104093	Organization	google/muril-large-cased
284969	Individual	google/muril-large-cased
154146	None	google/muril-large-cased
903474	None	google/muril-large-cased
310847	None	google/muril-large-cased
618320	None	google/muril-large-cased
219771	None	google/muril-large-cased
137796	None	google/muril-large-cased
557214	Organization	google/muril-large-cased
639414	None	google/muril-large-cased
499556	Organization	google/muril-large-cased
874903	None	google/muril-large-cased
242561	None	google/muril-large-cased
170696	None	google/muril-large-cased
400293	None	google/muril-large-cased
345498	None	google/muril-large-cased
682342	None	google/muril-large-cased
103754	Individual	google/muril-large-cased
763773	None	google/muril-large-cased
366364	None	google/muril-large-cased
748942	None	google/muril-large-cased
108952	None	google/muril-large-cased
852650	Individual	google/muril-large-cased
638113	Society	google/muril-large-cased
788538	Society	google/muril-large-cased
677410	None	google/muril-large-cased
194546	Individual	google/muril-large-cased
645529	Individual	google/muril-large-cased
924142	None	google/muril-large-cased
69380	Organization	google/muril-large-cased
748478	None	google/muril-large-cased
645018	None	google/muril-large-cased
295794	None	google/muril-large-cased
63426	None	google/muril-large-cased
63116	Organization	google/muril-large-cased
551400	None	google/muril-large-cased
835607	Organization	google/muril-large-cased
103869	None	google/muril-large-cased
562502	None	google/muril-large-cased
472928	None	google/muril-large-cased
319508	None	google/muril-large-cased
545961	None	google/muril-large-cased
698843	None	google/muril-large-cased
590762	None	google/muril-large-cased
878482	None	google/muril-large-cased
451314	Society	google/muril-large-cased
88129	Organization	google/muril-large-cased
189525	Community	google/muril-large-cased
379097	Organization	google/muril-large-cased
864667	None	google/muril-large-cased
780940	None	google/muril-large-cased
577465	Individual	google/muril-large-cased
201744	None	google/muril-large-cased
5641	Individual	google/muril-large-cased
110529	None	google/muril-large-cased
732060	None	google/muril-large-cased
899521	None	google/muril-large-cased
217414	Community	google/muril-large-cased
364331	None	google/muril-large-cased
220584	None	google/muril-large-cased
521448	None	google/muril-large-cased
235213	Individual	google/muril-large-cased
288321	Individual	google/muril-large-cased
