id	label	model
12764	Society	google/muril-large-cased
202933	None	google/muril-large-cased
165894	Community	google/muril-large-cased
124999	Community	google/muril-large-cased
535301	Community	google/muril-large-cased
432948	Individual	google/muril-large-cased
34737	None	google/muril-large-cased
377091	Community	google/muril-large-cased
840467	None	google/muril-large-cased
361701	None	google/muril-large-cased
184161	None	google/muril-large-cased
531785	Individual	google/muril-large-cased
402930	None	google/muril-large-cased
578332	Organization	google/muril-large-cased
723077	Society	google/muril-large-cased
776755	Community	google/muril-large-cased
587800	Individual	google/muril-large-cased
869387	None	google/muril-large-cased
620490	Organization	google/muril-large-cased
241030	Organization	google/muril-large-cased
764029	Community	google/muril-large-cased
174711	None	google/muril-large-cased
65995	Individual	google/muril-large-cased
871343	Organization	google/muril-large-cased
715822	None	google/muril-large-cased
106487	None	google/muril-large-cased
764737	None	google/muril-large-cased
917460	None	google/muril-large-cased
531356	Individual	google/muril-large-cased
266651	Organization	google/muril-large-cased
739854	None	google/muril-large-cased
266764	None	google/muril-large-cased
73332	None	google/muril-large-cased
760242	Society	google/muril-large-cased
320758	None	google/muril-large-cased
609567	None	google/muril-large-cased
16555	Society	google/muril-large-cased
404893	Organization	google/muril-large-cased
357862	None	google/muril-large-cased
624326	Community	google/muril-large-cased
364169	Community	google/muril-large-cased
631673	None	google/muril-large-cased
105543	Individual	google/muril-large-cased
699006	None	google/muril-large-cased
701268	None	google/muril-large-cased
742298	None	google/muril-large-cased
643737	Organization	google/muril-large-cased
689092	None	google/muril-large-cased
563553	None	google/muril-large-cased
662932	None	google/muril-large-cased
473263	Society	google/muril-large-cased
422168	None	google/muril-large-cased
862941	None	google/muril-large-cased
342937	Organization	google/muril-large-cased
178372	Individual	google/muril-large-cased
916768	None	google/muril-large-cased
215239	Organization	google/muril-large-cased
763206	Individual	google/muril-large-cased
666182	None	google/muril-large-cased
503048	Organization	google/muril-large-cased
519953	None	google/muril-large-cased
679666	None	google/muril-large-cased
237037	Individual	google/muril-large-cased
561654	None	google/muril-large-cased
335959	None	google/muril-large-cased
672138	None	google/muril-large-cased
705318	None	google/muril-large-cased
251010	None	google/muril-large-cased
50757	None	google/muril-large-cased
708711	Society	google/muril-large-cased
379033	None	google/muril-large-cased
356889	None	google/muril-large-cased
380864	Society	google/muril-large-cased
357388	None	google/muril-large-cased
237264	None	google/muril-large-cased
785645	Individual	google/muril-large-cased
10221	Organization	google/muril-large-cased
51427	Individual	google/muril-large-cased
327009	None	google/muril-large-cased
72638	None	google/muril-large-cased
454694	Community	google/muril-large-cased
531585	None	google/muril-large-cased
905729	None	google/muril-large-cased
826344	None	google/muril-large-cased
622615	Organization	google/muril-large-cased
341026	Society	google/muril-large-cased
756812	None	google/muril-large-cased
446998	None	google/muril-large-cased
507755	Individual	google/muril-large-cased
252185	None	google/muril-large-cased
677872	Individual	google/muril-large-cased
573406	None	google/muril-large-cased
708512	None	google/muril-large-cased
35865	Organization	google/muril-large-cased
521314	None	google/muril-large-cased
629720	None	google/muril-large-cased
579590	None	google/muril-large-cased
420676	Society	google/muril-large-cased
888468	Individual	google/muril-large-cased
507098	None	google/muril-large-cased
33791	None	google/muril-large-cased
628771	None	google/muril-large-cased
197579	Organization	google/muril-large-cased
228413	None	google/muril-large-cased
607208	Individual	google/muril-large-cased
482851	None	google/muril-large-cased
641065	None	google/muril-large-cased
154089	None	google/muril-large-cased
21246	None	google/muril-large-cased
99970	None	google/muril-large-cased
243706	Organization	google/muril-large-cased
366232	None	google/muril-large-cased
799431	Individual	google/muril-large-cased
151836	Individual	google/muril-large-cased
384383	None	google/muril-large-cased
430350	Individual	google/muril-large-cased
321512	None	google/muril-large-cased
791877	None	google/muril-large-cased
369126	Community	google/muril-large-cased
769210	None	google/muril-large-cased
389866	None	google/muril-large-cased
124392	None	google/muril-large-cased
111565	Individual	google/muril-large-cased
87928	Organization	google/muril-large-cased
507897	Individual	google/muril-large-cased
284276	None	google/muril-large-cased
211557	None	google/muril-large-cased
407528	None	google/muril-large-cased
656024	None	google/muril-large-cased
163256	Community	google/muril-large-cased
701482	None	google/muril-large-cased
28613	None	google/muril-large-cased
393451	None	google/muril-large-cased
130986	None	google/muril-large-cased
47847	None	google/muril-large-cased
474831	Society	google/muril-large-cased
262358	Organization	google/muril-large-cased
809182	None	google/muril-large-cased
912597	None	google/muril-large-cased
491193	None	google/muril-large-cased
605569	Individual	google/muril-large-cased
380424	None	google/muril-large-cased
603456	Individual	google/muril-large-cased
107100	Organization	google/muril-large-cased
626831	None	google/muril-large-cased
447213	None	google/muril-large-cased
