id	label	model
12764	Society	xlm-roberta-base
202933	None	xlm-roberta-base
165894	Community	xlm-roberta-base
124999	Community	xlm-roberta-base
535301	Individual	xlm-roberta-base
432948	Individual	xlm-roberta-base
34737	None	xlm-roberta-base
377091	Community	xlm-roberta-base
840467	None	xlm-roberta-base
361701	None	xlm-roberta-base
184161	Individual	xlm-roberta-base
531785	None	xlm-roberta-base
402930	None	xlm-roberta-base
578332	Organization	xlm-roberta-base
723077	Society	xlm-roberta-base
776755	Society	xlm-roberta-base
587800	Individual	xlm-roberta-base
869387	None	xlm-roberta-base
620490	Organization	xlm-roberta-base
241030	Organization	xlm-roberta-base
764029	Community	xlm-roberta-base
174711	None	xlm-roberta-base
65995	Individual	xlm-roberta-base
871343	None	xlm-roberta-base
715822	None	xlm-roberta-base
106487	None	xlm-roberta-base
764737	None	xlm-roberta-base
917460	None	xlm-roberta-base
531356	None	xlm-roberta-base
266651	Organization	xlm-roberta-base
739854	None	xlm-roberta-base
266764	None	xlm-roberta-base
73332	None	xlm-roberta-base
760242	None	xlm-roberta-base
320758	None	xlm-roberta-base
609567	Organization	xlm-roberta-base
16555	Society	xlm-roberta-base
404893	Organization	xlm-roberta-base
357862	None	xlm-roberta-base
624326	None	xlm-roberta-base
364169	Community	xlm-roberta-base
631673	None	xlm-roberta-base
105543	Individual	xlm-roberta-base
699006	None	xlm-roberta-base
701268	None	xlm-roberta-base
742298	Individual	xlm-roberta-base
643737	Organization	xlm-roberta-base
689092	None	xlm-roberta-base
563553	Society	xlm-roberta-base
662932	None	xlm-roberta-base
473263	Community	xlm-roberta-base
422168	None	xlm-roberta-base
862941	None	xlm-roberta-base
342937	Organization	xlm-roberta-base
178372	Community	xlm-roberta-base
916768	None	xlm-roberta-base
215239	Community	xlm-roberta-base
763206	None	xlm-roberta-base
666182	None	xlm-roberta-base
503048	Organization	xlm-roberta-base
519953	None	xlm-roberta-base
679666	None	xlm-roberta-base
237037	Individual	xlm-roberta-base
561654	Individual	xlm-roberta-base
335959	Society	xlm-roberta-base
672138	None	xlm-roberta-base
705318	Individual	xlm-roberta-base
251010	None	xlm-roberta-base
50757	Organization	xlm-roberta-base
708711	Society	xlm-roberta-base
379033	None	xlm-roberta-base
356889	None	xlm-roberta-base
380864	None	xlm-roberta-base
357388	None	xlm-roberta-base
237264	Individual	xlm-roberta-base
785645	Individual	xlm-roberta-base
10221	Organization	xlm-roberta-base
51427	None	xlm-roberta-base
327009	None	xlm-roberta-base
72638	Organization	xlm-roberta-base
454694	Community	xlm-roberta-base
531585	None	xlm-roberta-base
905729	None	xlm-roberta-base
826344	None	xlm-roberta-base
622615	Organization	xlm-roberta-base
341026	Individual	xlm-roberta-base
756812	None	xlm-roberta-base
446998	None	xlm-roberta-base
507755	None	xlm-roberta-base
252185	None	xlm-roberta-base
677872	Individual	xlm-roberta-base
573406	None	xlm-roberta-base
708512	Community	xlm-roberta-base
35865	Organization	xlm-roberta-base
521314	None	xlm-roberta-base
629720	None	xlm-roberta-base
579590	None	xlm-roberta-base
420676	Individual	xlm-roberta-base
888468	Individual	xlm-roberta-base
507098	None	xlm-roberta-base
33791	None	xlm-roberta-base
628771	Community	xlm-roberta-base
197579	Organization	xlm-roberta-base
228413	None	xlm-roberta-base
607208	Individual	xlm-roberta-base
482851	Individual	xlm-roberta-base
641065	None	xlm-roberta-base
154089	None	xlm-roberta-base
21246	None	xlm-roberta-base
99970	None	xlm-roberta-base
243706	Community	xlm-roberta-base
366232	None	xlm-roberta-base
799431	Individual	xlm-roberta-base
151836	None	xlm-roberta-base
384383	None	xlm-roberta-base
430350	Individual	xlm-roberta-base
321512	None	xlm-roberta-base
791877	None	xlm-roberta-base
369126	Community	xlm-roberta-base
769210	None	xlm-roberta-base
389866	None	xlm-roberta-base
124392	Organization	xlm-roberta-base
111565	Community	xlm-roberta-base
87928	Community	xlm-roberta-base
507897	None	xlm-roberta-base
284276	None	xlm-roberta-base
211557	Organization	xlm-roberta-base
407528	Community	xlm-roberta-base
656024	None	xlm-roberta-base
163256	None	xlm-roberta-base
701482	None	xlm-roberta-base
28613	None	xlm-roberta-base
393451	None	xlm-roberta-base
130986	None	xlm-roberta-base
47847	None	xlm-roberta-base
474831	Individual	xlm-roberta-base
262358	Organization	xlm-roberta-base
809182	None	xlm-roberta-base
912597	None	xlm-roberta-base
491193	None	xlm-roberta-base
605569	None	xlm-roberta-base
380424	None	xlm-roberta-base
603456	Individual	xlm-roberta-base
107100	Organization	xlm-roberta-base
626831	None	xlm-roberta-base
447213	None	xlm-roberta-base
697862	None	xlm-roberta-base
91497	None	xlm-roberta-base
652526	None	xlm-roberta-base
24792	None	xlm-roberta-base
571083	Individual	xlm-roberta-base
890268	Individual	xlm-roberta-base
5297	None	xlm-roberta-base
920594	Organization	xlm-roberta-base
172944	Community	xlm-roberta-base
624079	None	xlm-roberta-base
770329	None	xlm-roberta-base
692607	None	xlm-roberta-base
3052	Society	xlm-roberta-base
844455	Individual	xlm-roberta-base
814896	Society	xlm-roberta-base
110591	Organization	xlm-roberta-base
180575	None	xlm-roberta-base
254322	None	xlm-roberta-base
574720	None	xlm-roberta-base
622377	None	xlm-roberta-base
623083	Organization	xlm-roberta-base
668718	Community	xlm-roberta-base
633172	None	xlm-roberta-base
6790	None	xlm-roberta-base
850984	Organization	xlm-roberta-base
500524	None	xlm-roberta-base
581344	None	xlm-roberta-base
654769	None	xlm-roberta-base
706547	None	xlm-roberta-base
603782	None	xlm-roberta-base
302171	None	xlm-roberta-base
744717	None	xlm-roberta-base
512972	None	xlm-roberta-base
781353	None	xlm-roberta-base
384814	None	xlm-roberta-base
15032	Society	xlm-roberta-base
251425	Organization	xlm-roberta-base
813466	None	xlm-roberta-base
675844	None	xlm-roberta-base
2583	Community	xlm-roberta-base
659227	None	xlm-roberta-base
169886	None	xlm-roberta-base
381979	Society	xlm-roberta-base
299641	None	xlm-roberta-base
704171	None	xlm-roberta-base
618279	Community	xlm-roberta-base
641060	None	xlm-roberta-base
562096	None	xlm-roberta-base
318122	Individual	xlm-roberta-base
451639	None	xlm-roberta-base
653504	None	xlm-roberta-base
144836	None	xlm-roberta-base
426811	Society	xlm-roberta-base
399359	None	xlm-roberta-base
610564	Organization	xlm-roberta-base
246780	None	xlm-roberta-base
838887	None	xlm-roberta-base
144994	None	xlm-roberta-base
854277	None	xlm-roberta-base
865313	None	xlm-roberta-base
578428	None	xlm-roberta-base
187917	None	xlm-roberta-base
348388	Organization	xlm-roberta-base
741123	None	xlm-roberta-base
634544	None	xlm-roberta-base
778366	None	xlm-roberta-base
441000	None	xlm-roberta-base
377994	None	xlm-roberta-base
362805	Community	xlm-roberta-base
12475	None	xlm-roberta-base
460383	Society	xlm-roberta-base
870913	Individual	xlm-roberta-base
2715	None	xlm-roberta-base
921356	None	xlm-roberta-base
196647	Organization	xlm-roberta-base
824151	None	xlm-roberta-base
382540	Organization	xlm-roberta-base
1087	None	xlm-roberta-base
380610	Community	xlm-roberta-base
416517	None	xlm-roberta-base
456028	Individual	xlm-roberta-base
431471	None	xlm-roberta-base
453235	Organization	xlm-roberta-base
927587	None	xlm-roberta-base
422259	None	xlm-roberta-base
896697	None	xlm-roberta-base
42562	None	xlm-roberta-base
197313	Individual	xlm-roberta-base
690302	Organization	xlm-roberta-base
925174	None	xlm-roberta-base
535584	Individual	xlm-roberta-base
931365	None	xlm-roberta-base
227393	Individual	xlm-roberta-base
329379	None	xlm-roberta-base
56445	None	xlm-roberta-base
546158	Organization	xlm-roberta-base
258725	None	xlm-roberta-base
175825	None	xlm-roberta-base
937532	None	xlm-roberta-base
833099	None	xlm-roberta-base
321436	None	xlm-roberta-base
755018	None	xlm-roberta-base
798262	Organization	xlm-roberta-base
866278	None	xlm-roberta-base
210321	Organization	xlm-roberta-base
363164	None	xlm-roberta-base
370542	None	xlm-roberta-base
132703	None	xlm-roberta-base
