id	hate_type	hate_severity	to_whom	model
879187	None	Little to None	None	csebuetnlp/banglabert
316919	Profane	Severe	Individual	csebuetnlp/banglabert
916242	None	Little to None	None	csebuetnlp/banglabert
786824	None	Little to None	None	csebuetnlp/banglabert
47284	None	Little to None	None	csebuetnlp/banglabert
51359	Abusive	Little to None	Individual	csebuetnlp/banglabert
327639	None	Little to None	None	csebuetnlp/banglabert
925152	Abusive	Severe	Community	csebuetnlp/banglabert
432602	None	Little to None	None	csebuetnlp/banglabert
540917	Abusive	Little to None	None	csebuetnlp/banglabert
259015	None	Little to None	None	csebuetnlp/banglabert
119485	None	Little to None	None	csebuetnlp/banglabert
629565	None	Little to None	None	csebuetnlp/banglabert
223268	Abusive	Mild	Individual	csebuetnlp/banglabert
91157	Political Hate	Mild	Organization	csebuetnlp/banglabert
123076	Abusive	Little to None	Community	csebuetnlp/banglabert
301408	None	Little to None	None	csebuetnlp/banglabert
153221	None	Little to None	None	csebuetnlp/banglabert
713730	None	Little to None	None	csebuetnlp/banglabert
104093	Political Hate	Mild	Organization	csebuetnlp/banglabert
284969	Political Hate	Severe	Individual	csebuetnlp/banglabert
154146	None	Little to None	None	csebuetnlp/banglabert
903474	None	Little to None	None	csebuetnlp/banglabert
310847	Abusive	Little to None	None	csebuetnlp/banglabert
618320	None	Little to None	None	csebuetnlp/banglabert
219771	Abusive	Little to None	None	csebuetnlp/banglabert
137796	Political Hate	Little to None	None	csebuetnlp/banglabert
557214	Political Hate	Mild	Organization	csebuetnlp/banglabert
639414	None	Little to None	None	csebuetnlp/banglabert
499556	Profane	Severe	Organization	csebuetnlp/banglabert
874903	None	Little to None	None	csebuetnlp/banglabert
242561	None	Little to None	None	csebuetnlp/banglabert
170696	None	Little to None	None	csebuetnlp/banglabert
400293	None	Little to None	None	csebuetnlp/banglabert
345498	None	Little to None	None	csebuetnlp/banglabert
682342	Abusive	Little to None	None	csebuetnlp/banglabert
103754	Abusive	Severe	Individual	csebuetnlp/banglabert
763773	None	Little to None	None	csebuetnlp/banglabert
366364	Abusive	Little to None	Society	csebuetnlp/banglabert
748942	None	Little to None	None	csebuetnlp/banglabert
108952	None	Little to None	None	csebuetnlp/banglabert
852650	Abusive	Severe	Individual	csebuetnlp/banglabert
