id	label	model
12764	None	distilbert-base-multilingual-cased
202933	None	distilbert-base-multilingual-cased
165894	Abusive	distilbert-base-multilingual-cased
124999	Religious Hate	distilbert-base-multilingual-cased
535301	Religious Hate	distilbert-base-multilingual-cased
432948	Profane	distilbert-base-multilingual-cased
34737	None	distilbert-base-multilingual-cased
377091	Profane	distilbert-base-multilingual-cased
840467	None	distilbert-base-multilingual-cased
361701	None	distilbert-base-multilingual-cased
184161	Abusive	distilbert-base-multilingual-cased
531785	Sexism	distilbert-base-multilingual-cased
402930	None	distilbert-base-multilingual-cased
578332	Political Hate	distilbert-base-multilingual-cased
723077	Profane	distilbert-base-multilingual-cased
776755	Abusive	distilbert-base-multilingual-cased
587800	Profane	distilbert-base-multilingual-cased
869387	None	distilbert-base-multilingual-cased
620490	Political Hate	distilbert-base-multilingual-cased
241030	Abusive	distilbert-base-multilingual-cased
764029	Religious Hate	distilbert-base-multilingual-cased
174711	None	distilbert-base-multilingual-cased
65995	Political Hate	distilbert-base-multilingual-cased
871343	None	distilbert-base-multilingual-cased
715822	None	distilbert-base-multilingual-cased
106487	None	distilbert-base-multilingual-cased
764737	None	distilbert-base-multilingual-cased
917460	None	distilbert-base-multilingual-cased
531356	None	distilbert-base-multilingual-cased
266651	Political Hate	distilbert-base-multilingual-cased
739854	None	distilbert-base-multilingual-cased
266764	None	distilbert-base-multilingual-cased
73332	None	distilbert-base-multilingual-cased
760242	Sexism	distilbert-base-multilingual-cased
320758	None	distilbert-base-multilingual-cased
609567	Abusive	distilbert-base-multilingual-cased
16555	Abusive	distilbert-base-multilingual-cased
404893	Abusive	distilbert-base-multilingual-cased
357862	None	distilbert-base-multilingual-cased
624326	None	distilbert-base-multilingual-cased
364169	Profane	distilbert-base-multilingual-cased
631673	None	distilbert-base-multilingual-cased
105543	Profane	distilbert-base-multilingual-cased
699006	None	distilbert-base-multilingual-cased
701268	Abusive	distilbert-base-multilingual-cased
742298	None	distilbert-base-multilingual-cased
643737	Abusive	distilbert-base-multilingual-cased
689092	None	distilbert-base-multilingual-cased
563553	None	distilbert-base-multilingual-cased
662932	None	distilbert-base-multilingual-cased
473263	Abusive	distilbert-base-multilingual-cased
422168	None	distilbert-base-multilingual-cased
862941	None	distilbert-base-multilingual-cased
342937	Profane	distilbert-base-multilingual-cased
178372	Abusive	distilbert-base-multilingual-cased
916768	None	distilbert-base-multilingual-cased
215239	Abusive	distilbert-base-multilingual-cased
763206	None	distilbert-base-multilingual-cased
666182	None	distilbert-base-multilingual-cased
503048	Political Hate	distilbert-base-multilingual-cased
519953	Abusive	distilbert-base-multilingual-cased
679666	None	distilbert-base-multilingual-cased
237037	None	distilbert-base-multilingual-cased
561654	Abusive	distilbert-base-multilingual-cased
335959	Abusive	distilbert-base-multilingual-cased
672138	None	distilbert-base-multilingual-cased
705318	Sexism	distilbert-base-multilingual-cased
251010	None	distilbert-base-multilingual-cased
50757	Abusive	distilbert-base-multilingual-cased
708711	Abusive	distilbert-base-multilingual-cased
379033	None	distilbert-base-multilingual-cased
356889	None	distilbert-base-multilingual-cased
380864	Abusive	distilbert-base-multilingual-cased
357388	None	distilbert-base-multilingual-cased
237264	None	distilbert-base-multilingual-cased
785645	None	distilbert-base-multilingual-cased
10221	None	distilbert-base-multilingual-cased
51427	None	distilbert-base-multilingual-cased
327009	None	distilbert-base-multilingual-cased
72638	None	distilbert-base-multilingual-cased
454694	Abusive	distilbert-base-multilingual-cased
531585	None	distilbert-base-multilingual-cased
905729	None	distilbert-base-multilingual-cased
826344	None	distilbert-base-multilingual-cased
622615	Political Hate	distilbert-base-multilingual-cased
341026	Abusive	distilbert-base-multilingual-cased
756812	None	distilbert-base-multilingual-cased
446998	None	distilbert-base-multilingual-cased
507755	None	distilbert-base-multilingual-cased
252185	None	distilbert-base-multilingual-cased
677872	Political Hate	distilbert-base-multilingual-cased
573406	None	distilbert-base-multilingual-cased
708512	None	distilbert-base-multilingual-cased
35865	Political Hate	distilbert-base-multilingual-cased
521314	None	distilbert-base-multilingual-cased
629720	None	distilbert-base-multilingual-cased
579590	None	distilbert-base-multilingual-cased
420676	None	distilbert-base-multilingual-cased
888468	Profane	distilbert-base-multilingual-cased
507098	None	distilbert-base-multilingual-cased
33791	None	distilbert-base-multilingual-cased
628771	Abusive	distilbert-base-multilingual-cased
197579	Political Hate	distilbert-base-multilingual-cased
228413	None	distilbert-base-multilingual-cased
607208	None	distilbert-base-multilingual-cased
482851	Abusive	distilbert-base-multilingual-cased
641065	None	distilbert-base-multilingual-cased
154089	None	distilbert-base-multilingual-cased
21246	None	distilbert-base-multilingual-cased
99970	None	distilbert-base-multilingual-cased
243706	Abusive	distilbert-base-multilingual-cased
366232	None	distilbert-base-multilingual-cased
799431	Profane	distilbert-base-multilingual-cased
151836	Profane	distilbert-base-multilingual-cased
384383	None	distilbert-base-multilingual-cased
430350	Abusive	distilbert-base-multilingual-cased
321512	None	distilbert-base-multilingual-cased
791877	None	distilbert-base-multilingual-cased
369126	Abusive	distilbert-base-multilingual-cased
769210	None	distilbert-base-multilingual-cased
389866	None	distilbert-base-multilingual-cased
124392	Abusive	distilbert-base-multilingual-cased
111565	Abusive	distilbert-base-multilingual-cased
87928	Political Hate	distilbert-base-multilingual-cased
507897	Sexism	distilbert-base-multilingual-cased
284276	Abusive	distilbert-base-multilingual-cased
211557	None	distilbert-base-multilingual-cased
407528	None	distilbert-base-multilingual-cased
656024	None	distilbert-base-multilingual-cased
163256	Abusive	distilbert-base-multilingual-cased
701482	None	distilbert-base-multilingual-cased
28613	Political Hate	distilbert-base-multilingual-cased
393451	None	distilbert-base-multilingual-cased
130986	Abusive	distilbert-base-multilingual-cased
47847	None	distilbert-base-multilingual-cased
474831	None	distilbert-base-multilingual-cased
262358	None	distilbert-base-multilingual-cased
809182	None	distilbert-base-multilingual-cased
912597	None	distilbert-base-multilingual-cased
491193	None	distilbert-base-multilingual-cased
605569	Abusive	distilbert-base-multilingual-cased
380424	None	distilbert-base-multilingual-cased
603456	Abusive	distilbert-base-multilingual-cased
107100	Political Hate	distilbert-base-multilingual-cased
626831	None	distilbert-base-multilingual-cased
447213	None	distilbert-base-multilingual-cased
697862	None	distilbert-base-multilingual-cased
91497	Abusive	distilbert-base-multilingual-cased
652526	None	distilbert-base-multilingual-cased
24792	None	distilbert-base-multilingual-cased
571083	Profane	distilbert-base-multilingual-cased
890268	Sexism	distilbert-base-multilingual-cased
5297	Sexism	distilbert-base-multilingual-cased
920594	Profane	distilbert-base-multilingual-cased
172944	Political Hate	distilbert-base-multilingual-cased
624079	None	distilbert-base-multilingual-cased
770329	None	distilbert-base-multilingual-cased
692607	Abusive	distilbert-base-multilingual-cased
3052	Political Hate	distilbert-base-multilingual-cased
844455	Profane	distilbert-base-multilingual-cased
814896	Profane	distilbert-base-multilingual-cased
110591	None	distilbert-base-multilingual-cased
180575	None	distilbert-base-multilingual-cased
254322	None	distilbert-base-multilingual-cased
574720	None	distilbert-base-multilingual-cased
622377	None	distilbert-base-multilingual-cased
623083	None	distilbert-base-multilingual-cased
668718	Abusive	distilbert-base-multilingual-cased
633172	None	distilbert-base-multilingual-cased
6790	None	distilbert-base-multilingual-cased
850984	Profane	distilbert-base-multilingual-cased
500524	Political Hate	distilbert-base-multilingual-cased
581344	Abusive	distilbert-base-multilingual-cased
654769	None	distilbert-base-multilingual-cased
706547	None	distilbert-base-multilingual-cased
603782	None	distilbert-base-multilingual-cased
302171	None	distilbert-base-multilingual-cased
744717	None	distilbert-base-multilingual-cased
512972	Abusive	distilbert-base-multilingual-cased
781353	None	distilbert-base-multilingual-cased
384814	None	distilbert-base-multilingual-cased
15032	None	distilbert-base-multilingual-cased
251425	Abusive	distilbert-base-multilingual-cased
813466	None	distilbert-base-multilingual-cased
675844	None	distilbert-base-multilingual-cased
2583	Religious Hate	distilbert-base-multilingual-cased
659227	None	distilbert-base-multilingual-cased
169886	None	distilbert-base-multilingual-cased
381979	Political Hate	distilbert-base-multilingual-cased
299641	None	distilbert-base-multilingual-cased
704171	None	distilbert-base-multilingual-cased
618279	Political Hate	distilbert-base-multilingual-cased
641060	None	distilbert-base-multilingual-cased
562096	None	distilbert-base-multilingual-cased
318122	Profane	distilbert-base-multilingual-cased
451639	None	distilbert-base-multilingual-cased
653504	None	distilbert-base-multilingual-cased
144836	None	distilbert-base-multilingual-cased
426811	Political Hate	distilbert-base-multilingual-cased
399359	None	distilbert-base-multilingual-cased
610564	None	distilbert-base-multilingual-cased
246780	None	distilbert-base-multilingual-cased
838887	None	distilbert-base-multilingual-cased
144994	None	distilbert-base-multilingual-cased
854277	None	distilbert-base-multilingual-cased
865313	None	distilbert-base-multilingual-cased
578428	None	distilbert-base-multilingual-cased
187917	None	distilbert-base-multilingual-cased
348388	Abusive	distilbert-base-multilingual-cased
741123	None	distilbert-base-multilingual-cased
634544	None	distilbert-base-multilingual-cased
778366	Abusive	distilbert-base-multilingual-cased
441000	None	distilbert-base-multilingual-cased
377994	None	distilbert-base-multilingual-cased
362805	Religious Hate	distilbert-base-multilingual-cased
12475	Political Hate	distilbert-base-multilingual-cased
460383	Abusive	distilbert-base-multilingual-cased
870913	None	distilbert-base-multilingual-cased
2715	None	distilbert-base-multilingual-cased
921356	None	distilbert-base-multilingual-cased
196647	Political Hate	distilbert-base-multilingual-cased
824151	None	distilbert-base-multilingual-cased
382540	Abusive	distilbert-base-multilingual-cased
1087	None	distilbert-base-multilingual-cased
380610	None	distilbert-base-multilingual-cased
416517	None	distilbert-base-multilingual-cased
456028	Profane	distilbert-base-multilingual-cased
431471	None	distilbert-base-multilingual-cased
453235	Political Hate	distilbert-base-multilingual-cased
927587	None	distilbert-base-multilingual-cased
422259	None	distilbert-base-multilingual-cased
896697	None	distilbert-base-multilingual-cased
42562	None	distilbert-base-multilingual-cased
197313	Political Hate	distilbert-base-multilingual-cased
690302	None	distilbert-base-multilingual-cased
925174	None	distilbert-base-multilingual-cased
535584	Abusive	distilbert-base-multilingual-cased
931365	Abusive	distilbert-base-multilingual-cased
227393	Political Hate	distilbert-base-multilingual-cased
329379	None	distilbert-base-multilingual-cased
56445	None	distilbert-base-multilingual-cased
546158	Political Hate	distilbert-base-multilingual-cased
258725	None	distilbert-base-multilingual-cased
175825	None	distilbert-base-multilingual-cased
937532	None	distilbert-base-multilingual-cased
833099	None	distilbert-base-multilingual-cased
321436	Abusive	distilbert-base-multilingual-cased
755018	Abusive	distilbert-base-multilingual-cased
798262	Political Hate	distilbert-base-multilingual-cased
866278	None	distilbert-base-multilingual-cased
210321	Political Hate	distilbert-base-multilingual-cased
363164	None	distilbert-base-multilingual-cased
370542	Abusive	distilbert-base-multilingual-cased
132703	None	distilbert-base-multilingual-cased
601946	Abusive	distilbert-base-multilingual-cased
897150	None	distilbert-base-multilingual-cased
256376	None	distilbert-base-multilingual-cased
240015	None	distilbert-base-multilingual-cased
259547	Abusive	distilbert-base-multilingual-cased
67131	None	distilbert-base-multilingual-cased
923885	Abusive	distilbert-base-multilingual-cased
226135	None	distilbert-base-multilingual-cased
662300	None	distilbert-base-multilingual-cased
677456	None	distilbert-base-multilingual-cased
485008	Abusive	distilbert-base-multilingual-cased
529942	Profane	distilbert-base-multilingual-cased
914346	Abusive	distilbert-base-multilingual-cased
298173	Abusive	distilbert-base-multilingual-cased
446809	None	distilbert-base-multilingual-cased
671424	None	distilbert-base-multilingual-cased
793955	Political Hate	distilbert-base-multilingual-cased
157776	Abusive	distilbert-base-multilingual-cased
283469	None	distilbert-base-multilingual-cased
206317	None	distilbert-base-multilingual-cased
33066	Abusive	distilbert-base-multilingual-cased
36214	Political Hate	distilbert-base-multilingual-cased
683112	None	distilbert-base-multilingual-cased
831416	Political Hate	distilbert-base-multilingual-cased
473865	None	distilbert-base-multilingual-cased
783655	Political Hate	distilbert-base-multilingual-cased
344565	None	distilbert-base-multilingual-cased
240377	None	distilbert-base-multilingual-cased
205517	None	distilbert-base-multilingual-cased
624990	None	distilbert-base-multilingual-cased
114646	Profane	distilbert-base-multilingual-cased
860260	Political Hate	distilbert-base-multilingual-cased
321233	None	distilbert-base-multilingual-cased
287639	None	distilbert-base-multilingual-cased
698525	Sexism	distilbert-base-multilingual-cased
640865	None	distilbert-base-multilingual-cased
493551	None	distilbert-base-multilingual-cased
329369	None	distilbert-base-multilingual-cased
687000	Profane	distilbert-base-multilingual-cased
938515	None	distilbert-base-multilingual-cased
71327	Abusive	distilbert-base-multilingual-cased
82872	Abusive	distilbert-base-multilingual-cased
564549	None	distilbert-base-multilingual-cased
93050	None	distilbert-base-multilingual-cased
684599	None	distilbert-base-multilingual-cased
923214	None	distilbert-base-multilingual-cased
712666	None	distilbert-base-multilingual-cased
516447	None	distilbert-base-multilingual-cased
789503	None	distilbert-base-multilingual-cased
126197	Political Hate	distilbert-base-multilingual-cased
83510	None	distilbert-base-multilingual-cased
693378	None	distilbert-base-multilingual-cased
766830	Abusive	distilbert-base-multilingual-cased
917369	Abusive	distilbert-base-multilingual-cased
