id	label	model
879187	None	xlm-roberta-large
316919	Organization	xlm-roberta-large
916242	None	xlm-roberta-large
786824	None	xlm-roberta-large
47284	None	xlm-roberta-large
51359	Individual	xlm-roberta-large
327639	None	xlm-roberta-large
925152	Community	xlm-roberta-large
432602	None	xlm-roberta-large
540917	Organization	xlm-roberta-large
259015	None	xlm-roberta-large
119485	None	xlm-roberta-large
629565	None	xlm-roberta-large
223268	Individual	xlm-roberta-large
91157	Organization	xlm-roberta-large
123076	Community	xlm-roberta-large
301408	None	xlm-roberta-large
153221	None	xlm-roberta-large
713730	None	xlm-roberta-large
104093	Organization	xlm-roberta-large
284969	Individual	xlm-roberta-large
154146	None	xlm-roberta-large
903474	None	xlm-roberta-large
310847	Community	xlm-roberta-large
618320	None	xlm-roberta-large
219771	None	xlm-roberta-large
137796	None	xlm-roberta-large
557214	Organization	xlm-roberta-large
639414	None	xlm-roberta-large
499556	Organization	xlm-roberta-large
874903	None	xlm-roberta-large
242561	None	xlm-roberta-large
170696	None	xlm-roberta-large
400293	Organization	xlm-roberta-large
345498	None	xlm-roberta-large
682342	None	xlm-roberta-large
103754	Individual	xlm-roberta-large
763773	None	xlm-roberta-large
366364	None	xlm-roberta-large
748942	None	xlm-roberta-large
108952	None	xlm-roberta-large
852650	Individual	xlm-roberta-large
638113	Society	xlm-roberta-large
788538	Society	xlm-roberta-large
677410	None	xlm-roberta-large
194546	Individual	xlm-roberta-large
645529	Individual	xlm-roberta-large
924142	None	xlm-roberta-large
69380	Individual	xlm-roberta-large
748478	None	xlm-roberta-large
645018	None	xlm-roberta-large
295794	None	xlm-roberta-large
63426	Community	xlm-roberta-large
63116	Organization	xlm-roberta-large
551400	None	xlm-roberta-large
835607	Organization	xlm-roberta-large
103869	None	xlm-roberta-large
562502	None	xlm-roberta-large
472928	None	xlm-roberta-large
319508	None	xlm-roberta-large
545961	None	xlm-roberta-large
698843	None	xlm-roberta-large
590762	None	xlm-roberta-large
878482	None	xlm-roberta-large
451314	Community	xlm-roberta-large
88129	Organization	xlm-roberta-large
189525	Community	xlm-roberta-large
379097	Organization	xlm-roberta-large
864667	None	xlm-roberta-large
780940	None	xlm-roberta-large
577465	Individual	xlm-roberta-large
201744	None	xlm-roberta-large
5641	Individual	xlm-roberta-large
110529	Organization	xlm-roberta-large
732060	None	xlm-roberta-large
899521	None	xlm-roberta-large
217414	Community	xlm-roberta-large
364331	Organization	xlm-roberta-large
220584	None	xlm-roberta-large
521448	None	xlm-roberta-large
235213	Community	xlm-roberta-large
288321	None	xlm-roberta-large
444659	None	xlm-roberta-large
288470	Organization	xlm-roberta-large
602580	Individual	xlm-roberta-large
505064	None	xlm-roberta-large
220958	None	xlm-roberta-large
208873	None	xlm-roberta-large
905717	Individual	xlm-roberta-large
753381	None	xlm-roberta-large
189967	Community	xlm-roberta-large
55334	Individual	xlm-roberta-large
585271	Society	xlm-roberta-large
284428	Organization	xlm-roberta-large
333828	None	xlm-roberta-large
268077	Organization	xlm-roberta-large
791784	Society	xlm-roberta-large
29385	None	xlm-roberta-large
721154	None	xlm-roberta-large
53445	None	xlm-roberta-large
849367	Individual	xlm-roberta-large
776247	None	xlm-roberta-large
194347	Individual	xlm-roberta-large
875084	None	xlm-roberta-large
429185	None	xlm-roberta-large
869559	None	xlm-roberta-large
551711	None	xlm-roberta-large
459530	None	xlm-roberta-large
371844	Community	xlm-roberta-large
678759	None	xlm-roberta-large
928871	None	xlm-roberta-large
938337	None	xlm-roberta-large
486005	Individual	xlm-roberta-large
739268	None	xlm-roberta-large
256855	None	xlm-roberta-large
57158	Individual	xlm-roberta-large
492274	Community	xlm-roberta-large
177187	None	xlm-roberta-large
323380	Individual	xlm-roberta-large
736173	Organization	xlm-roberta-large
655076	None	xlm-roberta-large
636680	Organization	xlm-roberta-large
319075	None	xlm-roberta-large
183674	Organization	xlm-roberta-large
556548	None	xlm-roberta-large
268230	Organization	xlm-roberta-large
732875	None	xlm-roberta-large
212780	Organization	xlm-roberta-large
915594	None	xlm-roberta-large
187124	Organization	xlm-roberta-large
376637	Society	xlm-roberta-large
237536	None	xlm-roberta-large
727320	Society	xlm-roberta-large
62305	None	xlm-roberta-large
518275	None	xlm-roberta-large
190205	None	xlm-roberta-large
682947	None	xlm-roberta-large
843536	None	xlm-roberta-large
298286	Organization	xlm-roberta-large
260368	Organization	xlm-roberta-large
109120	None	xlm-roberta-large
732085	None	xlm-roberta-large
587177	Individual	xlm-roberta-large
219166	Individual	xlm-roberta-large
712397	None	xlm-roberta-large
744608	None	xlm-roberta-large
839392	None	xlm-roberta-large
567799	None	xlm-roberta-large
357344	Organization	xlm-roberta-large
646789	Organization	xlm-roberta-large
144730	None	xlm-roberta-large
606121	None	xlm-roberta-large
663589	None	xlm-roberta-large
175058	Community	xlm-roberta-large
602882	Organization	xlm-roberta-large
865744	None	xlm-roberta-large
15148	None	xlm-roberta-large
714172	Community	xlm-roberta-large
919656	Individual	xlm-roberta-large
641435	None	xlm-roberta-large
542675	Organization	xlm-roberta-large
97962	Individual	xlm-roberta-large
35543	None	xlm-roberta-large
249438	None	xlm-roberta-large
45817	Individual	xlm-roberta-large
846205	Individual	xlm-roberta-large
684720	None	xlm-roberta-large
659930	Organization	xlm-roberta-large
446120	None	xlm-roberta-large
315323	None	xlm-roberta-large
533231	Individual	xlm-roberta-large
103313	None	xlm-roberta-large
484049	None	xlm-roberta-large
258145	Organization	xlm-roberta-large
255461	Individual	xlm-roberta-large
582412	Individual	xlm-roberta-large
541719	Community	xlm-roberta-large
400986	None	xlm-roberta-large
547162	Individual	xlm-roberta-large
444235	Society	xlm-roberta-large
349790	Community	xlm-roberta-large
1698	None	xlm-roberta-large
733055	None	xlm-roberta-large
358186	None	xlm-roberta-large
272026	Individual	xlm-roberta-large
843498	None	xlm-roberta-large
903157	None	xlm-roberta-large
869323	None	xlm-roberta-large
314731	Individual	xlm-roberta-large
923983	Community	xlm-roberta-large
467220	None	xlm-roberta-large
203763	Individual	xlm-roberta-large
254343	Community	xlm-roberta-large
753995	None	xlm-roberta-large
577269	None	xlm-roberta-large
140440	None	xlm-roberta-large
327128	None	xlm-roberta-large
742109	None	xlm-roberta-large
339941	None	xlm-roberta-large
648055	None	xlm-roberta-large
271686	None	xlm-roberta-large
167523	Community	xlm-roberta-large
565237	Individual	xlm-roberta-large
326583	Individual	xlm-roberta-large
521049	None	xlm-roberta-large
635150	None	xlm-roberta-large
667038	None	xlm-roberta-large
533234	None	xlm-roberta-large
49935	Society	xlm-roberta-large
132749	None	xlm-roberta-large
526931	None	xlm-roberta-large
120887	None	xlm-roberta-large
148965	None	xlm-roberta-large
785355	Society	xlm-roberta-large
904080	None	xlm-roberta-large
242296	Community	xlm-roberta-large
505804	None	xlm-roberta-large
28164	None	xlm-roberta-large
287563	Organization	xlm-roberta-large
866300	None	xlm-roberta-large
846915	None	xlm-roberta-large
363471	None	xlm-roberta-large
376108	Society	xlm-roberta-large
725247	Society	xlm-roberta-large
917058	Individual	xlm-roberta-large
936170	None	xlm-roberta-large
632147	None	xlm-roberta-large
71795	Organization	xlm-roberta-large
886268	Organization	xlm-roberta-large
22299	None	xlm-roberta-large
727182	None	xlm-roberta-large
565081	None	xlm-roberta-large
599305	None	xlm-roberta-large
443980	None	xlm-roberta-large
765765	None	xlm-roberta-large
473418	None	xlm-roberta-large
544646	None	xlm-roberta-large
351344	None	xlm-roberta-large
697214	None	xlm-roberta-large
371187	None	xlm-roberta-large
121250	Organization	xlm-roberta-large
20874	None	xlm-roberta-large
850266	None	xlm-roberta-large
