id	label	model
879187	None	google/muril-large-cased
316919	Profane	google/muril-large-cased
916242	None	google/muril-large-cased
786824	None	google/muril-large-cased
47284	None	google/muril-large-cased
51359	Abusive	google/muril-large-cased
327639	None	google/muril-large-cased
925152	Abusive	google/muril-large-cased
432602	Religious Hate	google/muril-large-cased
540917	Abusive	google/muril-large-cased
259015	None	google/muril-large-cased
119485	None	google/muril-large-cased
629565	None	google/muril-large-cased
223268	None	google/muril-large-cased
91157	Political Hate	google/muril-large-cased
123076	Abusive	google/muril-large-cased
301408	None	google/muril-large-cased
153221	None	google/muril-large-cased
713730	None	google/muril-large-cased
104093	None	google/muril-large-cased
284969	Abusive	google/muril-large-cased
154146	Abusive	google/muril-large-cased
903474	None	google/muril-large-cased
310847	None	google/muril-large-cased
618320	None	google/muril-large-cased
219771	None	google/muril-large-cased
137796	None	google/muril-large-cased
557214	Abusive	google/muril-large-cased
639414	None	google/muril-large-cased
499556	Political Hate	google/muril-large-cased
874903	None	google/muril-large-cased
242561	Abusive	google/muril-large-cased
170696	None	google/muril-large-cased
400293	Abusive	google/muril-large-cased
345498	None	google/muril-large-cased
682342	Abusive	google/muril-large-cased
103754	Abusive	google/muril-large-cased
763773	None	google/muril-large-cased
366364	Religious Hate	google/muril-large-cased
748942	None	google/muril-large-cased
108952	None	google/muril-large-cased
852650	Political Hate	google/muril-large-cased
638113	Profane	google/muril-large-cased
788538	Political Hate	google/muril-large-cased
677410	None	google/muril-large-cased
194546	Political Hate	google/muril-large-cased
645529	Political Hate	google/muril-large-cased
924142	None	google/muril-large-cased
69380	Political Hate	google/muril-large-cased
748478	None	google/muril-large-cased
645018	None	google/muril-large-cased
295794	None	google/muril-large-cased
63426	Abusive	google/muril-large-cased
63116	Political Hate	google/muril-large-cased
551400	None	google/muril-large-cased
835607	Religious Hate	google/muril-large-cased
103869	None	google/muril-large-cased
562502	None	google/muril-large-cased
472928	None	google/muril-large-cased
319508	None	google/muril-large-cased
545961	None	google/muril-large-cased
698843	None	google/muril-large-cased
590762	None	google/muril-large-cased
878482	None	google/muril-large-cased
451314	Abusive	google/muril-large-cased
88129	Profane	google/muril-large-cased
189525	Religious Hate	google/muril-large-cased
379097	Abusive	google/muril-large-cased
864667	None	google/muril-large-cased
780940	None	google/muril-large-cased
577465	Abusive	google/muril-large-cased
201744	Sexism	google/muril-large-cased
5641	Abusive	google/muril-large-cased
110529	None	google/muril-large-cased
732060	None	google/muril-large-cased
899521	None	google/muril-large-cased
217414	Political Hate	google/muril-large-cased
364331	Religious Hate	google/muril-large-cased
220584	None	google/muril-large-cased
521448	None	google/muril-large-cased
235213	Profane	google/muril-large-cased
288321	Abusive	google/muril-large-cased
444659	None	google/muril-large-cased
288470	Abusive	google/muril-large-cased
602580	Abusive	google/muril-large-cased
505064	Abusive	google/muril-large-cased
220958	None	google/muril-large-cased
208873	None	google/muril-large-cased
905717	Abusive	google/muril-large-cased
753381	None	google/muril-large-cased
189967	Political Hate	google/muril-large-cased
55334	Abusive	google/muril-large-cased
585271	Political Hate	google/muril-large-cased
284428	Abusive	google/muril-large-cased
333828	None	google/muril-large-cased
268077	Political Hate	google/muril-large-cased
791784	Political Hate	google/muril-large-cased
29385	None	google/muril-large-cased
721154	None	google/muril-large-cased
53445	None	google/muril-large-cased
849367	Abusive	google/muril-large-cased
776247	None	google/muril-large-cased
194347	Profane	google/muril-large-cased
875084	None	google/muril-large-cased
429185	None	google/muril-large-cased
869559	None	google/muril-large-cased
551711	None	google/muril-large-cased
459530	None	google/muril-large-cased
371844	None	google/muril-large-cased
678759	None	google/muril-large-cased
928871	None	google/muril-large-cased
938337	None	google/muril-large-cased
486005	Sexism	google/muril-large-cased
739268	None	google/muril-large-cased
256855	None	google/muril-large-cased
57158	Sexism	google/muril-large-cased
492274	Abusive	google/muril-large-cased
177187	None	google/muril-large-cased
323380	Profane	google/muril-large-cased
736173	Abusive	google/muril-large-cased
655076	None	google/muril-large-cased
636680	Abusive	google/muril-large-cased
319075	None	google/muril-large-cased
183674	Abusive	google/muril-large-cased
556548	Profane	google/muril-large-cased
268230	None	google/muril-large-cased
732875	Abusive	google/muril-large-cased
212780	Abusive	google/muril-large-cased
915594	None	google/muril-large-cased
187124	Abusive	google/muril-large-cased
376637	Political Hate	google/muril-large-cased
237536	None	google/muril-large-cased
727320	Profane	google/muril-large-cased
62305	None	google/muril-large-cased
518275	None	google/muril-large-cased
190205	None	google/muril-large-cased
682947	None	google/muril-large-cased
843536	None	google/muril-large-cased
298286	Profane	google/muril-large-cased
260368	Profane	google/muril-large-cased
109120	None	google/muril-large-cased
732085	Abusive	google/muril-large-cased
587177	Abusive	google/muril-large-cased
219166	Political Hate	google/muril-large-cased
712397	None	google/muril-large-cased
744608	None	google/muril-large-cased
839392	None	google/muril-large-cased
567799	None	google/muril-large-cased
357344	Abusive	google/muril-large-cased
646789	Political Hate	google/muril-large-cased
144730	None	google/muril-large-cased
606121	None	google/muril-large-cased
663589	None	google/muril-large-cased
175058	Abusive	google/muril-large-cased
602882	Political Hate	google/muril-large-cased
865744	None	google/muril-large-cased
15148	None	google/muril-large-cased
714172	Profane	google/muril-large-cased
919656	Abusive	google/muril-large-cased
641435	None	google/muril-large-cased
542675	Profane	google/muril-large-cased
97962	Profane	google/muril-large-cased
35543	None	google/muril-large-cased
249438	None	google/muril-large-cased
45817	Abusive	google/muril-large-cased
846205	Political Hate	google/muril-large-cased
684720	None	google/muril-large-cased
659930	Profane	google/muril-large-cased
446120	Political Hate	google/muril-large-cased
315323	None	google/muril-large-cased
533231	Abusive	google/muril-large-cased
103313	Abusive	google/muril-large-cased
484049	None	google/muril-large-cased
258145	Profane	google/muril-large-cased
255461	Religious Hate	google/muril-large-cased
582412	None	google/muril-large-cased
541719	Abusive	google/muril-large-cased
400986	None	google/muril-large-cased
547162	Political Hate	google/muril-large-cased
444235	Abusive	google/muril-large-cased
349790	Abusive	google/muril-large-cased
1698	None	google/muril-large-cased
733055	Abusive	google/muril-large-cased
358186	None	google/muril-large-cased
272026	Profane	google/muril-large-cased
843498	None	google/muril-large-cased
903157	Abusive	google/muril-large-cased
869323	None	google/muril-large-cased
314731	Abusive	google/muril-large-cased
923983	None	google/muril-large-cased
467220	None	google/muril-large-cased
203763	Abusive	google/muril-large-cased
254343	Political Hate	google/muril-large-cased
753995	None	google/muril-large-cased
