id	label	model
12764	Abusive	google/muril-large-cased
202933	None	google/muril-large-cased
165894	Abusive	google/muril-large-cased
124999	Profane	google/muril-large-cased
535301	Religious Hate	google/muril-large-cased
432948	Profane	google/muril-large-cased
34737	None	google/muril-large-cased
377091	Profane	google/muril-large-cased
840467	None	google/muril-large-cased
361701	None	google/muril-large-cased
184161	Abusive	google/muril-large-cased
531785	Sexism	google/muril-large-cased
402930	None	google/muril-large-cased
578332	Political Hate	google/muril-large-cased
723077	Abusive	google/muril-large-cased
776755	Religious Hate	google/muril-large-cased
587800	Profane	google/muril-large-cased
869387	None	google/muril-large-cased
620490	Political Hate	google/muril-large-cased
241030	Abusive	google/muril-large-cased
764029	Religious Hate	google/muril-large-cased
174711	None	google/muril-large-cased
65995	Abusive	google/muril-large-cased
871343	Abusive	google/muril-large-cased
715822	None	google/muril-large-cased
106487	None	google/muril-large-cased
764737	None	google/muril-large-cased
917460	None	google/muril-large-cased
531356	None	google/muril-large-cased
266651	None	google/muril-large-cased
739854	None	google/muril-large-cased
266764	None	google/muril-large-cased
73332	None	google/muril-large-cased
760242	Sexism	google/muril-large-cased
320758	None	google/muril-large-cased
609567	Abusive	google/muril-large-cased
16555	Abusive	google/muril-large-cased
404893	Profane	google/muril-large-cased
357862	None	google/muril-large-cased
624326	Abusive	google/muril-large-cased
364169	Profane	google/muril-large-cased
631673	None	google/muril-large-cased
105543	Profane	google/muril-large-cased
699006	None	google/muril-large-cased
701268	None	google/muril-large-cased
742298	Abusive	google/muril-large-cased
643737	Abusive	google/muril-large-cased
689092	None	google/muril-large-cased
563553	Abusive	google/muril-large-cased
662932	None	google/muril-large-cased
473263	Profane	google/muril-large-cased
422168	None	google/muril-large-cased
862941	Abusive	google/muril-large-cased
342937	Profane	google/muril-large-cased
178372	Abusive	google/muril-large-cased
916768	None	google/muril-large-cased
215239	Abusive	google/muril-large-cased
763206	Abusive	google/muril-large-cased
666182	None	google/muril-large-cased
503048	Political Hate	google/muril-large-cased
519953	Abusive	google/muril-large-cased
679666	None	google/muril-large-cased
237037	Abusive	google/muril-large-cased
561654	None	google/muril-large-cased
335959	None	google/muril-large-cased
672138	None	google/muril-large-cased
705318	Sexism	google/muril-large-cased
251010	None	google/muril-large-cased
50757	None	google/muril-large-cased
708711	Profane	google/muril-large-cased
379033	None	google/muril-large-cased
356889	None	google/muril-large-cased
380864	Abusive	google/muril-large-cased
357388	None	google/muril-large-cased
237264	Sexism	google/muril-large-cased
785645	None	google/muril-large-cased
10221	Religious Hate	google/muril-large-cased
51427	Abusive	google/muril-large-cased
327009	None	google/muril-large-cased
72638	None	google/muril-large-cased
454694	Abusive	google/muril-large-cased
531585	None	google/muril-large-cased
905729	None	google/muril-large-cased
826344	None	google/muril-large-cased
622615	Political Hate	google/muril-large-cased
341026	Abusive	google/muril-large-cased
756812	None	google/muril-large-cased
446998	None	google/muril-large-cased
507755	Abusive	google/muril-large-cased
252185	None	google/muril-large-cased
677872	Political Hate	google/muril-large-cased
573406	None	google/muril-large-cased
708512	Abusive	google/muril-large-cased
35865	Abusive	google/muril-large-cased
521314	None	google/muril-large-cased
629720	None	google/muril-large-cased
579590	None	google/muril-large-cased
420676	None	google/muril-large-cased
888468	Profane	google/muril-large-cased
507098	None	google/muril-large-cased
33791	None	google/muril-large-cased
628771	None	google/muril-large-cased
197579	Political Hate	google/muril-large-cased
228413	None	google/muril-large-cased
607208	None	google/muril-large-cased
482851	Abusive	google/muril-large-cased
641065	None	google/muril-large-cased
154089	None	google/muril-large-cased
21246	None	google/muril-large-cased
99970	None	google/muril-large-cased
243706	Political Hate	google/muril-large-cased
366232	None	google/muril-large-cased
799431	Abusive	google/muril-large-cased
151836	Profane	google/muril-large-cased
384383	None	google/muril-large-cased
430350	Abusive	google/muril-large-cased
321512	None	google/muril-large-cased
791877	Political Hate	google/muril-large-cased
369126	Sexism	google/muril-large-cased
