id	label	model
12764	Abusive	xlm-roberta-base
202933	None	xlm-roberta-base
165894	Abusive	xlm-roberta-base
124999	Profane	xlm-roberta-base
535301	Religious Hate	xlm-roberta-base
432948	Profane	xlm-roberta-base
34737	None	xlm-roberta-base
377091	Profane	xlm-roberta-base
840467	None	xlm-roberta-base
361701	None	xlm-roberta-base
184161	Abusive	xlm-roberta-base
531785	Sexism	xlm-roberta-base
402930	None	xlm-roberta-base
578332	Political Hate	xlm-roberta-base
723077	Abusive	xlm-roberta-base
776755	Religious Hate	xlm-roberta-base
587800	Profane	xlm-roberta-base
869387	None	xlm-roberta-base
620490	Political Hate	xlm-roberta-base
241030	Abusive	xlm-roberta-base
764029	Religious Hate	xlm-roberta-base
174711	None	xlm-roberta-base
65995	Political Hate	xlm-roberta-base
871343	None	xlm-roberta-base
715822	None	xlm-roberta-base
106487	None	xlm-roberta-base
764737	None	xlm-roberta-base
917460	None	xlm-roberta-base
531356	None	xlm-roberta-base
266651	Political Hate	xlm-roberta-base
739854	None	xlm-roberta-base
266764	None	xlm-roberta-base
73332	None	xlm-roberta-base
760242	Sexism	xlm-roberta-base
320758	None	xlm-roberta-base
609567	Abusive	xlm-roberta-base
16555	Abusive	xlm-roberta-base
404893	Abusive	xlm-roberta-base
357862	None	xlm-roberta-base
624326	None	xlm-roberta-base
364169	Profane	xlm-roberta-base
631673	None	xlm-roberta-base
105543	Profane	xlm-roberta-base
699006	None	xlm-roberta-base
701268	None	xlm-roberta-base
742298	Abusive	xlm-roberta-base
643737	Political Hate	xlm-roberta-base
689092	None	xlm-roberta-base
563553	Abusive	xlm-roberta-base
662932	None	xlm-roberta-base
473263	Profane	xlm-roberta-base
422168	None	xlm-roberta-base
862941	None	xlm-roberta-base
342937	Profane	xlm-roberta-base
178372	Profane	xlm-roberta-base
916768	None	xlm-roberta-base
215239	Abusive	xlm-roberta-base
763206	None	xlm-roberta-base
666182	None	xlm-roberta-base
503048	Political Hate	xlm-roberta-base
519953	Abusive	xlm-roberta-base
679666	None	xlm-roberta-base
237037	None	xlm-roberta-base
561654	Abusive	xlm-roberta-base
335959	None	xlm-roberta-base
672138	None	xlm-roberta-base
705318	Sexism	xlm-roberta-base
251010	None	xlm-roberta-base
