id	label	model
879187	None	xlm-roberta-large
316919	Profane	xlm-roberta-large
916242	None	xlm-roberta-large
786824	None	xlm-roberta-large
47284	None	xlm-roberta-large
51359	Abusive	xlm-roberta-large
327639	None	xlm-roberta-large
925152	Profane	xlm-roberta-large
432602	Religious Hate	xlm-roberta-large
540917	Abusive	xlm-roberta-large
259015	None	xlm-roberta-large
119485	None	xlm-roberta-large
629565	None	xlm-roberta-large
223268	None	xlm-roberta-large
91157	Political Hate	xlm-roberta-large
123076	Abusive	xlm-roberta-large
301408	None	xlm-roberta-large
153221	None	xlm-roberta-large
713730	None	xlm-roberta-large
104093	Political Hate	xlm-roberta-large
284969	Political Hate	xlm-roberta-large
154146	None	xlm-roberta-large
903474	None	xlm-roberta-large
310847	Abusive	xlm-roberta-large
618320	None	xlm-roberta-large
219771	None	xlm-roberta-large
137796	Political Hate	xlm-roberta-large
557214	Abusive	xlm-roberta-large
639414	None	xlm-roberta-large
499556	Profane	xlm-roberta-large
874903	None	xlm-roberta-large
242561	None	xlm-roberta-large
170696	None	xlm-roberta-large
400293	None	xlm-roberta-large
345498	None	xlm-roberta-large
682342	None	xlm-roberta-large
103754	Abusive	xlm-roberta-large
763773	None	xlm-roberta-large
366364	Religious Hate	xlm-roberta-large
748942	None	xlm-roberta-large
108952	Sexism	xlm-roberta-large
852650	Political Hate	xlm-roberta-large
638113	Profane	xlm-roberta-large
788538	Political Hate	xlm-roberta-large
677410	Religious Hate	xlm-roberta-large
194546	Abusive	xlm-roberta-large
645529	Political Hate	xlm-roberta-large
924142	None	xlm-roberta-large
69380	Political Hate	xlm-roberta-large
748478	None	xlm-roberta-large
645018	None	xlm-roberta-large
295794	None	xlm-roberta-large
63426	Abusive	xlm-roberta-large
63116	Profane	xlm-roberta-large
551400	None	xlm-roberta-large
835607	Religious Hate	xlm-roberta-large
103869	None	xlm-roberta-large
562502	None	xlm-roberta-large
472928	None	xlm-roberta-large
319508	None	xlm-roberta-large
545961	None	xlm-roberta-large
698843	None	xlm-roberta-large
590762	None	xlm-roberta-large
878482	None	xlm-roberta-large
451314	Abusive	xlm-roberta-large
88129	Profane	xlm-roberta-large
189525	Religious Hate	xlm-roberta-large
379097	Abusive	xlm-roberta-large
864667	None	xlm-roberta-large
780940	None	xlm-roberta-large
577465	Abusive	xlm-roberta-large
201744	None	xlm-roberta-large
5641	Abusive	xlm-roberta-large
110529	Political Hate	xlm-roberta-large
732060	None	xlm-roberta-large
899521	None	xlm-roberta-large
217414	Political Hate	xlm-roberta-large
364331	Religious Hate	xlm-roberta-large
220584	None	xlm-roberta-large
521448	None	xlm-roberta-large
235213	Profane	xlm-roberta-large
288321	None	xlm-roberta-large
444659	None	xlm-roberta-large
288470	Political Hate	xlm-roberta-large
602580	None	xlm-roberta-large
