id	label	model
879187	None	xlm-roberta-base
316919	Profane	xlm-roberta-base
916242	None	xlm-roberta-base
786824	None	xlm-roberta-base
47284	None	xlm-roberta-base
51359	Profane	xlm-roberta-base
327639	None	xlm-roberta-base
925152	Profane	xlm-roberta-base
432602	None	xlm-roberta-base
540917	Abusive	xlm-roberta-base
259015	None	xlm-roberta-base
119485	None	xlm-roberta-base
629565	None	xlm-roberta-base
223268	None	xlm-roberta-base
91157	Political Hate	xlm-roberta-base
123076	Abusive	xlm-roberta-base
301408	None	xlm-roberta-base
153221	None	xlm-roberta-base
713730	None	xlm-roberta-base
104093	Political Hate	xlm-roberta-base
284969	Political Hate	xlm-roberta-base
154146	None	xlm-roberta-base
903474	None	xlm-roberta-base
310847	Abusive	xlm-roberta-base
618320	None	xlm-roberta-base
219771	None	xlm-roberta-base
137796	Political Hate	xlm-roberta-base
557214	Abusive	xlm-roberta-base
639414	None	xlm-roberta-base
499556	Political Hate	xlm-roberta-base
874903	None	xlm-roberta-base
242561	None	xlm-roberta-base
170696	None	xlm-roberta-base
400293	Abusive	xlm-roberta-base
345498	None	xlm-roberta-base
682342	Abusive	xlm-roberta-base
103754	Abusive	xlm-roberta-base
763773	None	xlm-roberta-base
366364	Abusive	xlm-roberta-base
748942	None	xlm-roberta-base
108952	None	xlm-roberta-base
852650	Political Hate	xlm-roberta-base
638113	Profane	xlm-roberta-base
788538	Political Hate	xlm-roberta-base
677410	Religious Hate	xlm-roberta-base
194546	Religious Hate	xlm-roberta-base
645529	Political Hate	xlm-roberta-base
924142	None	xlm-roberta-base
69380	Political Hate	xlm-roberta-base
748478	None	xlm-roberta-base
645018	None	xlm-roberta-base
295794	None	xlm-roberta-base
63426	Abusive	xlm-roberta-base
63116	Profane	xlm-roberta-base
551400	None	xlm-roberta-base
835607	Abusive	xlm-roberta-base
103869	None	xlm-roberta-base
562502	None	xlm-roberta-base
472928	None	xlm-roberta-base
319508	None	xlm-roberta-base
545961	None	xlm-roberta-base
698843	None	xlm-roberta-base
590762	None	xlm-roberta-base
878482	None	xlm-roberta-base
451314	Abusive	xlm-roberta-base
88129	Profane	xlm-roberta-base
189525	Religious Hate	xlm-roberta-base
379097	Abusive	xlm-roberta-base
864667	None	xlm-roberta-base
780940	Political Hate	xlm-roberta-base
577465	Abusive	xlm-roberta-base
201744	None	xlm-roberta-base
5641	None	xlm-roberta-base
110529	Political Hate	xlm-roberta-base
732060	None	xlm-roberta-base
899521	None	xlm-roberta-base
217414	Political Hate	xlm-roberta-base
364331	None	xlm-roberta-base
220584	None	xlm-roberta-base
521448	None	xlm-roberta-base
235213	Profane	xlm-roberta-base
288321	None	xlm-roberta-base
444659	None	xlm-roberta-base
288470	Political Hate	xlm-roberta-base
602580	Abusive	xlm-roberta-base
505064	Abusive	xlm-roberta-base
220958	None	xlm-roberta-base
208873	None	xlm-roberta-base
905717	Abusive	xlm-roberta-base
753381	None	xlm-roberta-base
189967	Political Hate	xlm-roberta-base
55334	None	xlm-roberta-base
585271	None	xlm-roberta-base
284428	Political Hate	xlm-roberta-base
333828	None	xlm-roberta-base
268077	Political Hate	xlm-roberta-base
791784	Political Hate	xlm-roberta-base
29385	None	xlm-roberta-base
721154	None	xlm-roberta-base
53445	None	xlm-roberta-base
849367	Profane	xlm-roberta-base
776247	None	xlm-roberta-base
194347	Profane	xlm-roberta-base
875084	None	xlm-roberta-base
429185	None	xlm-roberta-base
869559	None	xlm-roberta-base
551711	None	xlm-roberta-base
459530	None	xlm-roberta-base
371844	Abusive	xlm-roberta-base
678759	None	xlm-roberta-base
928871	None	xlm-roberta-base
938337	None	xlm-roberta-base
486005	Sexism	xlm-roberta-base
739268	None	xlm-roberta-base
256855	None	xlm-roberta-base
57158	Sexism	xlm-roberta-base
492274	Sexism	xlm-roberta-base
177187	None	xlm-roberta-base
323380	Profane	xlm-roberta-base
736173	Abusive	xlm-roberta-base
655076	None	xlm-roberta-base
636680	Political Hate	xlm-roberta-base
319075	None	xlm-roberta-base
183674	Political Hate	xlm-roberta-base
556548	Profane	xlm-roberta-base
268230	Political Hate	xlm-roberta-base
732875	None	xlm-roberta-base
212780	Abusive	xlm-roberta-base
915594	None	xlm-roberta-base
187124	Abusive	xlm-roberta-base
376637	Political Hate	xlm-roberta-base
237536	None	xlm-roberta-base
727320	Profane	xlm-roberta-base
62305	None	xlm-roberta-base
518275	None	xlm-roberta-base
190205	None	xlm-roberta-base
682947	None	xlm-roberta-base
843536	None	xlm-roberta-base
298286	Profane	xlm-roberta-base
260368	Political Hate	xlm-roberta-base
109120	None	xlm-roberta-base
732085	None	xlm-roberta-base
587177	Abusive	xlm-roberta-base
219166	Profane	xlm-roberta-base
712397	None	xlm-roberta-base
744608	None	xlm-roberta-base
839392	None	xlm-roberta-base
567799	None	xlm-roberta-base
357344	Abusive	xlm-roberta-base
646789	Political Hate	xlm-roberta-base
144730	None	xlm-roberta-base
606121	None	xlm-roberta-base
663589	None	xlm-roberta-base
175058	Abusive	xlm-roberta-base
602882	Abusive	xlm-roberta-base
865744	None	xlm-roberta-base
15148	None	xlm-roberta-base
714172	Profane	xlm-roberta-base
919656	Abusive	xlm-roberta-base
641435	None	xlm-roberta-base
542675	Profane	xlm-roberta-base
97962	Profane	xlm-roberta-base
35543	None	xlm-roberta-base
249438	None	xlm-roberta-base
45817	Abusive	xlm-roberta-base
846205	Abusive	xlm-roberta-base
684720	None	xlm-roberta-base
659930	Abusive	xlm-roberta-base
446120	Political Hate	xlm-roberta-base
315323	None	xlm-roberta-base
533231	Abusive	xlm-roberta-base
103313	None	xlm-roberta-base
484049	None	xlm-roberta-base
258145	Political Hate	xlm-roberta-base
255461	Religious Hate	xlm-roberta-base
582412	None	xlm-roberta-base
541719	Abusive	xlm-roberta-base
400986	None	xlm-roberta-base
547162	Political Hate	xlm-roberta-base
444235	Political Hate	xlm-roberta-base
349790	Abusive	xlm-roberta-base
1698	None	xlm-roberta-base
733055	None	xlm-roberta-base
358186	None	xlm-roberta-base
272026	Sexism	xlm-roberta-base
843498	None	xlm-roberta-base
903157	Abusive	xlm-roberta-base
869323	Abusive	xlm-roberta-base
314731	Abusive	xlm-roberta-base
923983	Abusive	xlm-roberta-base
467220	Abusive	xlm-roberta-base
203763	Abusive	xlm-roberta-base
254343	Political Hate	xlm-roberta-base
753995	None	xlm-roberta-base
577269	Abusive	xlm-roberta-base
140440	None	xlm-roberta-base
327128	None	xlm-roberta-base
742109	None	xlm-roberta-base
339941	None	xlm-roberta-base
648055	None	xlm-roberta-base
271686	None	xlm-roberta-base
167523	Abusive	xlm-roberta-base
565237	None	xlm-roberta-base
326583	Abusive	xlm-roberta-base
521049	None	xlm-roberta-base
635150	None	xlm-roberta-base
667038	None	xlm-roberta-base
533234	None	xlm-roberta-base
49935	Political Hate	xlm-roberta-base
132749	None	xlm-roberta-base
526931	None	xlm-roberta-base
120887	Sexism	xlm-roberta-base
148965	Sexism	xlm-roberta-base
785355	None	xlm-roberta-base
904080	None	xlm-roberta-base
242296	Religious Hate	xlm-roberta-base
505804	None	xlm-roberta-base
28164	None	xlm-roberta-base
287563	Profane	xlm-roberta-base
866300	Sexism	xlm-roberta-base
846915	None	xlm-roberta-base
363471	None	xlm-roberta-base
376108	Religious Hate	xlm-roberta-base
725247	Profane	xlm-roberta-base
917058	None	xlm-roberta-base
936170	None	xlm-roberta-base
632147	Political Hate	xlm-roberta-base
71795	Profane	xlm-roberta-base
886268	Abusive	xlm-roberta-base
22299	Abusive	xlm-roberta-base
727182	None	xlm-roberta-base
565081	None	xlm-roberta-base
599305	Abusive	xlm-roberta-base
443980	None	xlm-roberta-base
765765	None	xlm-roberta-base
473418	None	xlm-roberta-base
544646	None	xlm-roberta-base
351344	None	xlm-roberta-base
697214	None	xlm-roberta-base
371187	None	xlm-roberta-base
121250	Political Hate	xlm-roberta-base
20874	None	xlm-roberta-base
850266	None	xlm-roberta-base
439950	Religious Hate	xlm-roberta-base
427668	None	xlm-roberta-base
60444	None	xlm-roberta-base
659301	None	xlm-roberta-base
592983	None	xlm-roberta-base
827694	Abusive	xlm-roberta-base
566134	Profane	xlm-roberta-base
355167	None	xlm-roberta-base
350908	None	xlm-roberta-base
332323	None	xlm-roberta-base
454987	Profane	xlm-roberta-base
170966	None	xlm-roberta-base
56299	Abusive	xlm-roberta-base
53232	Political Hate	xlm-roberta-base
649211	None	xlm-roberta-base
390308	None	xlm-roberta-base
488779	Abusive	xlm-roberta-base
215984	Political Hate	xlm-roberta-base
628026	Abusive	xlm-roberta-base
368087	None	xlm-roberta-base
875776	Religious Hate	xlm-roberta-base
831832	Religious Hate	xlm-roberta-base
569593	Political Hate	xlm-roberta-base
469197	None	xlm-roberta-base
390574	None	xlm-roberta-base
436078	Abusive	xlm-roberta-base
72621	None	xlm-roberta-base
265323	None	xlm-roberta-base
476101	Profane	xlm-roberta-base
104541	Abusive	xlm-roberta-base
446025	Political Hate	xlm-roberta-base
731432	Abusive	xlm-roberta-base
162796	None	xlm-roberta-base
120013	None	xlm-roberta-base
836767	None	xlm-roberta-base
843079	Abusive	xlm-roberta-base
97007	None	xlm-roberta-base
328435	Political Hate	xlm-roberta-base
779718	Abusive	xlm-roberta-base
419606	None	xlm-roberta-base
920869	Abusive	xlm-roberta-base
664800	Political Hate	xlm-roberta-base
98071	None	xlm-roberta-base
842810	Abusive	xlm-roberta-base
19398	Political Hate	xlm-roberta-base
564701	None	xlm-roberta-base
573270	None	xlm-roberta-base
593127	Political Hate	xlm-roberta-base
102435	None	xlm-roberta-base
256050	None	xlm-roberta-base
81593	None	xlm-roberta-base
632323	None	xlm-roberta-base
825656	None	xlm-roberta-base
566899	Political Hate	xlm-roberta-base
510731	None	xlm-roberta-base
384979	None	xlm-roberta-base
144849	None	xlm-roberta-base
79787	None	xlm-roberta-base
910730	None	xlm-roberta-base
363532	Religious Hate	xlm-roberta-base
620917	None	xlm-roberta-base
600432	None	xlm-roberta-base
581971	None	xlm-roberta-base
685765	Political Hate	xlm-roberta-base
706846	None	xlm-roberta-base
266829	Profane	xlm-roberta-base
557555	None	xlm-roberta-base
496625	None	xlm-roberta-base
178872	None	xlm-roberta-base
711143	Sexism	xlm-roberta-base
332460	None	xlm-roberta-base
29919	Political Hate	xlm-roberta-base
655611	None	xlm-roberta-base
669537	None	xlm-roberta-base
208251	Profane	xlm-roberta-base
866998	Abusive	xlm-roberta-base
143177	Profane	xlm-roberta-base
769023	None	xlm-roberta-base
396646	Abusive	xlm-roberta-base
225407	Abusive	xlm-roberta-base
359767	None	xlm-roberta-base
123345	Political Hate	xlm-roberta-base
283543	Abusive	xlm-roberta-base
542107	None	xlm-roberta-base
152502	Abusive	xlm-roberta-base
146539	None	xlm-roberta-base
357373	None	xlm-roberta-base
25777	None	xlm-roberta-base
746972	None	xlm-roberta-base
270762	Abusive	xlm-roberta-base
558844	None	xlm-roberta-base
740225	None	xlm-roberta-base
886666	None	xlm-roberta-base
606932	None	xlm-roberta-base
209217	None	xlm-roberta-base
777488	None	xlm-roberta-base
130669	Abusive	xlm-roberta-base
762285	Abusive	xlm-roberta-base
685431	Political Hate	xlm-roberta-base
771815	None	xlm-roberta-base
252415	Profane	xlm-roberta-base
687596	None	xlm-roberta-base
242766	None	xlm-roberta-base
447554	None	xlm-roberta-base
427243	None	xlm-roberta-base
140278	None	xlm-roberta-base
401449	None	xlm-roberta-base
765938	Political Hate	xlm-roberta-base
133168	None	xlm-roberta-base
306158	None	xlm-roberta-base
637422	None	xlm-roberta-base
663885	None	xlm-roberta-base
291989	Political Hate	xlm-roberta-base
298326	None	xlm-roberta-base
799266	Political Hate	xlm-roberta-base
779258	None	xlm-roberta-base
546084	None	xlm-roberta-base
781242	Sexism	xlm-roberta-base
602262	None	xlm-roberta-base
773036	None	xlm-roberta-base
377308	None	xlm-roberta-base
142631	Political Hate	xlm-roberta-base
895459	None	xlm-roberta-base
787010	None	xlm-roberta-base
645662	None	xlm-roberta-base
45403	None	xlm-roberta-base
267853	None	xlm-roberta-base
917758	None	xlm-roberta-base
426332	None	xlm-roberta-base
422595	None	xlm-roberta-base
691331	None	xlm-roberta-base
610080	None	xlm-roberta-base
501233	None	xlm-roberta-base
131294	None	xlm-roberta-base
815428	Abusive	xlm-roberta-base
195149	Political Hate	xlm-roberta-base
207721	Political Hate	xlm-roberta-base
