id	label	model
879187	None	csebuetnlp/banglabert
316919	Organization	csebuetnlp/banglabert
916242	None	csebuetnlp/banglabert
786824	None	csebuetnlp/banglabert
47284	None	csebuetnlp/banglabert
51359	Individual	csebuetnlp/banglabert
327639	None	csebuetnlp/banglabert
925152	Community	csebuetnlp/banglabert
432602	None	csebuetnlp/banglabert
540917	Organization	csebuetnlp/banglabert
259015	None	csebuetnlp/banglabert
119485	None	csebuetnlp/banglabert
629565	None	csebuetnlp/banglabert
223268	Individual	csebuetnlp/banglabert
91157	Organization	csebuetnlp/banglabert
123076	Community	csebuetnlp/banglabert
301408	None	csebuetnlp/banglabert
153221	None	csebuetnlp/banglabert
713730	None	csebuetnlp/banglabert
104093	Organization	csebuetnlp/banglabert
284969	Individual	csebuetnlp/banglabert
154146	None	csebuetnlp/banglabert
903474	None	csebuetnlp/banglabert
310847	Community	csebuetnlp/banglabert
618320	None	csebuetnlp/banglabert
219771	Community	csebuetnlp/banglabert
137796	None	csebuetnlp/banglabert
557214	Organization	csebuetnlp/banglabert
639414	None	csebuetnlp/banglabert
499556	Organization	csebuetnlp/banglabert
874903	None	csebuetnlp/banglabert
242561	None	csebuetnlp/banglabert
170696	None	csebuetnlp/banglabert
400293	None	csebuetnlp/banglabert
345498	None	csebuetnlp/banglabert
682342	Community	csebuetnlp/banglabert
103754	Individual	csebuetnlp/banglabert
763773	None	csebuetnlp/banglabert
366364	Society	csebuetnlp/banglabert
748942	None	csebuetnlp/banglabert
108952	None	csebuetnlp/banglabert
852650	Individual	csebuetnlp/banglabert
638113	Society	csebuetnlp/banglabert
788538	Society	csebuetnlp/banglabert
677410	None	csebuetnlp/banglabert
194546	Individual	csebuetnlp/banglabert
645529	Individual	csebuetnlp/banglabert
924142	None	csebuetnlp/banglabert
69380	Individual	csebuetnlp/banglabert
748478	None	csebuetnlp/banglabert
645018	None	csebuetnlp/banglabert
295794	None	csebuetnlp/banglabert
63426	Community	csebuetnlp/banglabert
63116	Organization	csebuetnlp/banglabert
551400	None	csebuetnlp/banglabert
835607	Organization	csebuetnlp/banglabert
103869	None	csebuetnlp/banglabert
562502	None	csebuetnlp/banglabert
472928	None	csebuetnlp/banglabert
319508	None	csebuetnlp/banglabert
545961	None	csebuetnlp/banglabert
698843	None	csebuetnlp/banglabert
590762	None	csebuetnlp/banglabert
878482	None	csebuetnlp/banglabert
451314	Community	csebuetnlp/banglabert
88129	Organization	csebuetnlp/banglabert
189525	Community	csebuetnlp/banglabert
379097	Organization	csebuetnlp/banglabert
864667	None	csebuetnlp/banglabert
780940	None	csebuetnlp/banglabert
577465	Individual	csebuetnlp/banglabert
201744	None	csebuetnlp/banglabert
5641	Individual	csebuetnlp/banglabert
110529	Organization	csebuetnlp/banglabert
732060	None	csebuetnlp/banglabert
899521	None	csebuetnlp/banglabert
217414	Community	csebuetnlp/banglabert
364331	Organization	csebuetnlp/banglabert
220584	None	csebuetnlp/banglabert
521448	None	csebuetnlp/banglabert
235213	Community	csebuetnlp/banglabert
288321	None	csebuetnlp/banglabert
444659	None	csebuetnlp/banglabert
288470	Organization	csebuetnlp/banglabert
602580	Individual	csebuetnlp/banglabert
505064	Individual	csebuetnlp/banglabert
220958	None	csebuetnlp/banglabert
208873	None	csebuetnlp/banglabert
905717	None	csebuetnlp/banglabert
753381	None	csebuetnlp/banglabert
189967	Community	csebuetnlp/banglabert
55334	Individual	csebuetnlp/banglabert
585271	Society	csebuetnlp/banglabert
284428	Organization	csebuetnlp/banglabert
333828	None	csebuetnlp/banglabert
268077	Organization	csebuetnlp/banglabert
791784	Society	csebuetnlp/banglabert
29385	None	csebuetnlp/banglabert
721154	None	csebuetnlp/banglabert
53445	None	csebuetnlp/banglabert
849367	Individual	csebuetnlp/banglabert
776247	None	csebuetnlp/banglabert
194347	Individual	csebuetnlp/banglabert
875084	None	csebuetnlp/banglabert
429185	None	csebuetnlp/banglabert
869559	None	csebuetnlp/banglabert
551711	None	csebuetnlp/banglabert
459530	None	csebuetnlp/banglabert
371844	Community	csebuetnlp/banglabert
678759	None	csebuetnlp/banglabert
928871	Individual	csebuetnlp/banglabert
938337	None	csebuetnlp/banglabert
486005	Individual	csebuetnlp/banglabert
739268	None	csebuetnlp/banglabert
256855	None	csebuetnlp/banglabert
57158	None	csebuetnlp/banglabert
492274	Individual	csebuetnlp/banglabert
177187	None	csebuetnlp/banglabert
323380	Individual	csebuetnlp/banglabert
736173	Individual	csebuetnlp/banglabert
655076	None	csebuetnlp/banglabert
636680	Organization	csebuetnlp/banglabert
319075	None	csebuetnlp/banglabert
183674	Organization	csebuetnlp/banglabert
556548	None	csebuetnlp/banglabert
268230	Organization	csebuetnlp/banglabert
732875	None	csebuetnlp/banglabert
212780	Organization	csebuetnlp/banglabert
915594	None	csebuetnlp/banglabert
187124	Organization	csebuetnlp/banglabert
376637	Community	csebuetnlp/banglabert
237536	None	csebuetnlp/banglabert
727320	Society	csebuetnlp/banglabert
62305	None	csebuetnlp/banglabert
518275	None	csebuetnlp/banglabert
190205	None	csebuetnlp/banglabert
682947	None	csebuetnlp/banglabert
843536	None	csebuetnlp/banglabert
298286	Organization	csebuetnlp/banglabert
260368	Organization	csebuetnlp/banglabert
109120	None	csebuetnlp/banglabert
732085	None	csebuetnlp/banglabert
587177	Individual	csebuetnlp/banglabert
219166	Individual	csebuetnlp/banglabert
712397	None	csebuetnlp/banglabert
744608	None	csebuetnlp/banglabert
839392	None	csebuetnlp/banglabert
567799	Organization	csebuetnlp/banglabert
357344	Organization	csebuetnlp/banglabert
646789	Organization	csebuetnlp/banglabert
144730	None	csebuetnlp/banglabert
606121	None	csebuetnlp/banglabert
663589	None	csebuetnlp/banglabert
175058	None	csebuetnlp/banglabert
602882	Organization	csebuetnlp/banglabert
865744	None	csebuetnlp/banglabert
15148	None	csebuetnlp/banglabert
714172	Community	csebuetnlp/banglabert
919656	Individual	csebuetnlp/banglabert
641435	None	csebuetnlp/banglabert
542675	Organization	csebuetnlp/banglabert
97962	Individual	csebuetnlp/banglabert
